DateTime,AddedIPs,RemovedIPs
1596401549,14,13
1596403451,3,11
1596405479,22,33
1596407290,21,8
1596409218,27,11
1596411155,20,14
1596413050,17,27
1596414965,28,26
1596416921,11,21
1596418809,2,14
1596420731,3,7
1596422680,2,13
1596424566,6,17
1596426503,4,31
1596428436,0,13
1596430328,1,20
1596432249,0,12
1596434195,3,17
1596436085,1,6
1596438965,2,28
1596441130,1,20
1596443052,2,22
1596445004,3,32
1596446886,1,34
1596449775,5,45
1596451685,3,27
1596453639,1,26
1596455527,1,20
1596457449,0,41
1596459400,2,11
1596461286,15,21
1596463239,8,32
1596465163,9,16
1596467081,15,33
1596468970,9,9
1596470930,5,14
1596472809,1,17
1596474729,1,14
1596476698,3,15
1596478581,1,13
1596480493,3,12
1596482439,3,5
1596484330,2,20
1596486255,1,18
1596488202,2,9
1596490087,0,5
1596492039,1,24
1596493968,5,25
1596496135,2,22
1596498008,1,19
1596499932,1,16
1596501881,0,37
1596503768,1,8
1596505931,1,5
1596509205,39,7
1596511240,10,10
1596513129,21,5
1596515295,8,1
1596518170,4,2
1596520091,13,2
1596522039,1,3
1596523927,2,2
1596525854,2,3
1596527801,2,4
1596529688,4,2
1596531652,1,3
1596533560,0,3
1596535456,3,2
1596537371,2,2
1596539325,3,1
1596541236,6,1
1596543787,10,0
1596545767,6,0
1596547720,2,5
1596549645,4,11
1596551570,9,5
1596553457,0,7
1596555371,2,6
1596557323,0,10
1596559211,0,2
1596561132,3,1
1596563079,6,4
1596564995,1,0
1596566890,1,2
1596568836,1,3
1596570730,1,1
1596572770,2,1
1596574599,7,1
1596576487,3,0
1596578440,4,0
1596580368,1,3
1596582253,3,0
1596584524,2,1
1596586334,1,2
1596588281,1,1
1596590172,3,0
1596592090,0,1
1596594054,0,13
1596595931,2,28
1596597849,3,14
1596599799,3,32
1596601687,4,7
1596604571,9,8
1596606497,0,15
1596608441,2,2
1596610395,5,2
1596612282,0,1
1596614174,2,4
1596616099,6,4
1596618086,2,0
1596620922,2,3
1596623048,2,3
1596624973,5,3
1596626917,1,2
1596629807,2,15
1596631691,2,11
1596633611,7,1
1596635560,5,5
1596637465,9,28
1596639369,6,2
1596641409,3,1
1596643485,0,2
1596645367,5,1
1596647292,5,6
1596649235,1,7
1596651172,4,0
1596653049,3,2
1596655220,4,5
1596657134,2,3
1596659115,3,1
1596660970,2,2
1596662898,1,1
1596664870,1,4
1596666730,3,1
1596668683,2,6
1596670598,2,3
1596672496,2,2
1596674415,2,4
1596676364,2,2
1596678268,2,0
1596680172,2,3
1596682123,6,6
1596684007,0,1
1596685931,3,3
1596687883,3,4
1596689769,2,7
1596691689,4,2
1596693659,1,3
1596695527,1,10
1596697699,3,4
1596699613,0,3
1596701560,3,2
1596703482,1,6
1596705375,3,2
1596707320,2,3
1596709209,8,2
1596711128,2,3
1596713082,1,0
1596714993,1,0
1596716896,0,5
1596719830,6,9
1596721690,2,3
1596723632,4,5
1596725556,2,1
1596727446,1,3
1596729397,4,3
1596731287,7,3
1596733224,1,3
1596735158,4,4
1596737334,4,5
1596739209,1,6
1596741129,2,1
1596743079,5,6
1596744972,1,9
1596746891,4,9
1596748837,5,7
1596750727,0,1
1596752651,5,3
1596754599,3,1
1596756487,2,1
1596759372,1,5
1596761305,2,2
1596763258,4,4
1596765131,2,4
1596767063,1,3
1596768999,2,4
1596770889,3,2
1596774015,6,4
1596775930,31,1
1596777884,15,4
1596779771,7,2
1596781688,16,0
1596784570,21,4
1596786518,8,1
1596788412,64,2
1596790329,8,2
1596792279,2,2
1596794196,2,5
1596796099,2,3
1596798068,3,3
1596799935,2,1
1596802122,4,1
1596804042,1,1
1596805931,0,5
1596807884,2,5
1596809783,1,6
1596811695,4,2
1596813638,1,4
1596815537,0,2
1596817449,3,5
1596819403,5,1
1596821288,2,4
1596823232,1,3
1596825159,5,2
1596827058,2,2
1596828970,6,4
1596830920,1,1
1596832809,1,5
1596834729,3,2
