DateTime,AddedIPs,RemovedIPs
1596185774,0,1
1596187722,1,1
1596191565,1,0
1596193455,0,1
1596195372,0,1
1596201127,3,0
1596203083,2,2
1596204970,0,1
1596208843,1,0
1596210728,1,2
1596212682,2,0
1596214568,9,0
1596218498,1,1
1596220333,1,1
1596222495,5,0
1596224408,2,0
1596226370,1,0
1596228252,1,0
1596230200,2,1
1596234009,2,0
1596235821,2,0
1596237885,1,0
1596239772,3,2
1596241685,2,2
1596244807,1,1
1596246805,2,3
1596248684,0,1
1596250572,2,0
1596252490,2,0
1596254470,2,0
1596256333,0,2
1596258496,1,0
1596260410,4,0
1596264489,1,1
1596266443,1,0
1596270280,2,2
1596274084,2,1
1596276965,2,1
1596278919,1,0
1596280808,1,0
1596282730,1,0
1596284688,1,0
1596286568,3,1
1596288497,0,2
1596290496,2,1
1596294524,2,1
1596296426,5,1
1596298331,0,1
1596300282,1,9
1596302168,1,1
1596306037,1,1
1596307926,2,3
1596309880,0,3
1596311766,2,3
1596313685,2,1
1596315698,2,3
1596317562,4,1
1596319489,2,1
1596321428,1,3
1596323322,1,0
1596325248,0,2
1596327140,1,3
1596329052,2,2
1596331006,1,0
1596332890,1,2
1596334824,1,0
1596336764,3,2
1596338652,0,1
1596340603,2,2
1596342487,1,0
1596344505,2,1
1596346608,4,3
1596348509,10,0
1596350409,0,1
1596352366,1,1
1596354249,1,0
1596356175,1,1
1596358127,0,2
1596360014,1,2
1596361935,2,0
1596363888,0,2
1596365768,1,0
1596367965,1,2
1596369860,1,0
1596371775,1,4
1596373722,2,1
1596375615,2,1
1596377550,0,1
1596381372,0,3
1596383297,0,3
1596387135,0,1
1596389054,1,1
1596391012,1,0
1596392907,1,1
1596395796,0,2
1596397769,0,2
1596399641,2,1
1596401550,0,2
1596403452,0,4
1596405480,0,1
1596407291,0,2
1596410177,0,1
1596412345,2,1
1596416200,1,1
1596418090,0,1
1596420992,1,1
1596422892,0,3
1596426733,0,2
1596430600,1,3
1596432492,0,5
1596435390,1,8
1596437291,0,1
1596439241,1,1
1596441131,1,1
1596443053,1,1
1596445006,0,1
1596449782,0,2
1596451687,1,0
1596453640,1,3
1596457450,1,2
1596459402,2,1
1596461288,0,3
1596464437,2,3
1596466328,1,0
1596468245,1,0
1596470207,1,0
1596472084,1,0
1596475962,0,1
1596477868,2,2
1596481717,1,0
1596483606,2,0
1596485529,1,2
1596491285,1,0
1596493238,1,0
1596495126,2,0
1596497047,1,1
1596499000,0,1
1596502849,0,1
1596504762,1,0
1596506928,1,1
1596513135,1,0
1596517259,1,1
1596521071,0,1
1596523067,1,0
1596526814,1,2
1596530683,1,1
1596532604,0,1
1596536441,1,0
1596538335,0,1
1596540250,0,1
1596542880,1,1
1596544971,1,0
1596547000,1,2
1596548897,0,1
1596550838,1,0
1596552726,2,1
1596554661,0,1
1596556598,2,1
1596558511,1,1
1596562362,1,0
1596564250,1,2
1596568160,1,1
1596570011,1,2
1596577690,0,1
1596579640,0,1
1596581527,0,2
1596583455,0,1
1596585401,2,0
1596591165,0,1
1596593057,2,1
1596598812,0,1
1596600732,1,0
1596604572,0,1
1596606498,1,0
1596610396,1,1
1596612283,1,0
1596614176,1,1
1596618115,2,1
1596619944,1,0
1596622152,0,1
1596624043,2,0
1596627854,3,0
1596629809,1,1
1596631692,1,1
1596633612,2,1
1596635561,0,1
1596637466,1,1
1596639370,1,2
1596641420,2,0
1596643245,2,1
1596645153,0,1
1596648974,1,1
1596651174,0,1
1596653051,1,0
1596655222,1,1
1596657135,0,1
1596662903,1,0
1596664914,1,0
1596668722,2,0
1596672498,1,1
1596674440,1,0
1596676365,2,0
1596678269,0,1
1596680174,0,1
1596684008,2,0
1596687884,0,1
1596693692,0,1
1596695528,0,1
1596699614,0,2
1596701561,1,0
1596703489,0,1
1596705376,1,2
1596707321,1,0
1596709212,0,2
1596713084,1,1
1596714995,0,3
1596716921,2,1
1596718884,0,2
1596720735,2,1
1596722691,1,0
1596724569,2,1
1596726531,0,3
1596728413,2,0
1596730331,1,2
1596732290,1,0
1596734173,0,1
1596738041,2,1
1596741850,0,1
1596743800,1,0
1596747877,0,1
1596749784,2,0
1596751723,0,1
1596755536,0,2
1596757488,1,0
1596759374,5,2
1596761306,0,1
1596763259,0,1
1596767065,1,0
