DateTime,AddedIPs,RemovedIPs
1596420985,4,8
1596422891,4,7
1596424838,0,4
1596426732,1,7
1596428653,11,7
1596430599,3,9
1596432492,3,7
1596435389,6,14
1596437290,6,9
1596439240,6,8
1596441131,4,3
1596443052,3,2
1596445005,6,10
1596446887,3,1
1596449779,4,9
1596451686,8,7
1596453639,19,6
1596455528,3,2
1596457450,8,9
1596459401,4,6
1596461287,8,6
1596463257,3,8
1596465164,4,2
1596467099,8,3
1596468970,4,4
1596470930,4,2
1596472809,6,5
1596474729,3,5
1596476699,5,5
1596478594,4,6
1596480493,6,3
1596482439,5,2
1596484330,4,3
1596486255,3,4
1596488203,3,5
1596490087,4,3
1596492046,2,6
1596493969,5,0
1596496136,19,75
1596498008,2,9
1596499933,5,2
1596501881,4,3
1596503768,4,4
1596505932,4,3
1596509205,9,6
1596511241,5,0
1596513129,5,1
1596515296,7,8
1596518171,5,5
1596520091,2,4
1596522040,7,2
1596523928,8,20
1596525855,2,6
1596527802,57,3
1596529688,2,2
1596531669,5,4
1596533560,6,2
1596535459,7,4
1596537371,2,4
1596539325,1,21
1596541237,3,2
1596543788,3,9
1596545768,5,4
1596547720,3,8
1596549686,5,3
1596551570,9,3
1596553460,4,6
1596555372,4,3
1596557323,7,3
1596559212,6,7
1596561132,3,2
1596563079,8,3
1596564996,4,3
1596566891,6,4
1596568837,4,6
1596570731,6,5
1596572771,6,3
1596574626,6,2
1596576488,2,3
1596578447,1,2
1596580368,4,4
1596582253,2,15
1596584524,3,5
1596586335,3,4
1596588282,4,3
1596590173,2,3
1596592091,6,6
1596594055,3,7
1596595932,5,3
1596597850,3,3
1596599799,8,3
1596601687,0,6
1596604571,3,5
1596606497,9,3
1596608441,1,7
1596610395,5,7
1596612282,6,0
1596614175,5,4
1596616099,5,2
1596619205,7,82
1596621127,2,6
1596623048,5,5
1596624975,2,2
1596626918,9,1
1596629808,14,4
1596631691,2,3
1596633612,6,5
1596635560,4,3
1596637465,8,9
1596639370,6,5
1596641410,5,3
1596643491,5,7
1596645367,13,6
1596647293,5,3
1596649236,5,5
1596651173,4,6
1596653050,4,4
1596655221,4,5
1596657134,7,7
1596659115,4,6
1596660970,4,6
1596662899,8,3
1596664887,8,2
1596666731,5,3
1596668707,5,1
1596670599,3,2
1596672497,5,4
1596674415,2,4
1596676364,4,1
1596678269,0,3
1596680173,2,9
1596682124,6,6
1596684008,6,4
1596685932,4,6
1596687883,6,1
1596689769,0,2
1596691689,2,4
1596693669,5,5
1596695528,3,1
1596697699,4,6
1596699614,0,5
1596701561,7,6
1596703485,6,5
1596705376,3,3
1596707321,2,4
1596709210,2,6
1596711129,7,2
1596713083,73,6
1596714994,6,10
1596716897,6,5
1596718869,3,5
1596720734,4,3
1596722687,4,7
1596724569,7,9
1596726531,3,6
1596728412,4,4
1596730331,5,4
1596732289,6,14
1596734173,2,5
1596736095,5,3
1596738041,7,5
1596739929,8,3
1596741849,5,3
1596743799,5,8
1596745688,9,5
1596747865,5,8
1596749783,6,8
1596751722,4,6
1596753612,3,4
1596755536,0,5
1596757488,5,4
1596759373,11,5
1596761305,2,3
1596763258,2,1
1596765131,2,1
1596767064,5,4
1596769000,4,4
1596770889,2,9
1596774016,4,7
1596775930,1,0
1596777884,8,1
1596779797,11,6
1596781688,4,3
1596783681,8,4
1596785534,12,0
1596787699,7,6
1596789611,2,7
1596791569,8,2
1596793449,2,4
1596795379,8,2
1596797318,3,5
1596799209,4,72
1596801126,5,6
1596803052,11,6
1596804966,5,5
1596806921,6,4
1596808834,3,4
1596810765,6,7
1596812659,1,3
1596814573,3,3
1596816522,6,5
1596818415,3,5
1596820334,7,2
1596822284,6,4
1596824207,6,5
1596826095,5,6
1596828040,3,6
1596829933,5,4
1596831854,7,9
1596833800,8,5
1596835688,3,3
1596838604,9,8
1596840497,5,3
1596842409,5,0
1596844376,4,10
1596846298,12,6
1596848169,3,3
1596850089,7,3
1596852062,4,2
1596853939,11,6
1596855851,7,5
1596857801,2,1
1596859689,6,3
1596861616,4,0
1596863560,4,5
1596865453,11,11
1596867372,6,6
1596869337,3,7
1596871207,8,8
1596873127,11,9
1596875082,7,7
1596876971,5,5
1596878932,3,6
1596880879,2,3
1596882731,4,4
1596884655,13,2
1596886600,5,6
1596888493,6,8
1596890408,3,6
1596892368,10,8
1596894255,4,4
1596896196,10,4
1596898122,12,5
1596900034,6,2
1596901932,8,4
1596903894,7,5
1596905770,4,8
1596907689,8,2
1596909652,10,8
1596911527,8,4
1596913705,12,8
1596915614,8,5
1596917564,7,5
1596919453,7,7
1596921388,8,4
1596923323,5,4
1596925212,4,7
1596927132,6,4
1596929084,9,5
1596930973,7,6
1596933134,7,11
1596935101,1,4
1596937000,4,5
1596938898,7,7
1596940815,7,8
1596942763,1,5
1596944653,0,2
1596946575,3,8
1596948523,5,2
1596950414,8,3
1596952333,5,14
1596954287,1,3
1596956173,4,2
1596958093,2,12
1596960970,5,5
1596962923,2,7
1596964809,3,4
1596966729,3,0
1596968686,1,7
1596970569,4,20
1596972730,6,4
1596974651,2,6
1596976606,5,4
1596978490,2,11
1596980409,3,6
1596982358,1,7
1596984255,2,13
1596986169,8,7
1596988120,4,9
1596990016,4,8
1596991929,3,5
1596993876,5,7
1596995770,4,8
1596997689,4,6
1597000571,7,14
1597002519,5,10
1597004407,2,3
1597006326,4,8
1597008279,4,10
1597010169,4,2
1597012087,0,7
1597014994,10,9
1597016927,5,8
1597018807,3,5
1597020727,2,4
1597022680,1,3
1597024569,2,5
1597026491,3,7
1597028461,3,2
1597030340,1,2
1597032252,2,2
1597034200,4,4
1597036106,12,6
1597038024,6,9
1597039958,5,1
1597041866,1,1
1597043771,2,5
1597045719,2,2
1597047607,4,3
1597049526,9,3
1597051494,5,4
1597053367,3,3
1597055286,7,2
1597057248,5,4
1597059154,4,5
1597061050,3,1
1597062997,3,6
1597064895,2,1
1597066807,3,3
1597068760,13,2
1597070648,8,2
1597072573,8,7
1597074508,8,3
1597076433,5,4
1597078328,7,3
1597080267,7,5
1597082194,10,3
1597084088,8,5
1597086043,7,6
1597087957,7,4
1597089855,7,4
1597091769,11,2
1597093719,5,3
1597095628,6,4
1597097532,4,3
1597099479,8,4
1597101368,7,5
1597103292,3,3
1597105235,11,3
1597107135,5,4
1597109052,4,1
1597110993,6,3
1597112914,8,4
1597114833,7,4
1597116759,9,1
1597118656,4,2
1597120570,4,5
1597122521,6,11
1597124409,2,6
1597126577,3,6
1597128490,4,1
1597130453,5,2
1597132329,5,3
1597134252,6,2
1597136198,9,8
1597138093,7,6
1597140083,5,4
1597141962,8,7
1597143853,7,6
1597145774,2,4
1597147722,3,2
1597149608,5,2
1597151531,4,2
1597153480,6,4
1597155503,4,14
1597157347,6,7
1597159216,5,7
1597161126,8,9
1597163084,12,6
1597164969,2,7
1597166951,3,6
1597168924,6,11
1597170738,4,7
1597172666,5,9
1597174596,10,8
1597176493,7,7
1597178415,4,11
1597180358,8,5
1597182273,11,5
1597184167,5,4
1597186118,5,6
1597188005,3,9
1597189927,2,2
1597191881,6,11
1597193770,4,3
1597195687,4,5
1597198809,6,7
1597200730,6,11
1597202675,8,5
1597204645,7,7
1597206490,2,4
1597208453,2,2
1597210328,8,5
1597212251,5,2
1597214194,7,3
1597216095,6,7
1597218010,2,1
1597219957,7,5
1597221854,4,10
1597224010,6,9
1597225929,4,5
1597227883,8,9
1597229769,2,10
1597231691,7,3
1597233642,2,2
1597235596,7,5
1597237457,3,4
1597239369,8,7
1597241321,3,6
1597243209,1,5
1597245130,4,7
1597247080,3,7
1597249044,9,8
1597250935,9,8
1597252838,3,2
1597254775,4,5
1597256654,4,4
1597258617,8,5
1597260490,4,6
1597262428,5,9
1597264359,5,3
1597266274,2,7
1597268169,6,10
1597270137,7,9
1597272010,3,2
1597273933,2,6
1597275914,12,1
1597277777,8,3
1597279699,3,9
1597281637,10,6
1597283529,4,3
1597285453,3,6
1597287397,10,5
1597289287,3,8
1597291227,5,6
1597293157,5,3
1597295326,2,1
1597297209,4,7
1597299152,7,7
1597301084,1,8
1597302969,4,2
1597304888,4,4
1597306836,9,5
1597308726,6,5
1597310678,4,4
1597312598,7,6
1597314504,4,8
1597317365,4,8
1597319287,5,6
1597321261,5,2
1597323123,4,7
1597325057,2,6
1597326998,5,5
1597328885,4,1
1597330827,6,4
1597332756,3,4
1597334649,5,6
1597336568,6,10
1597338520,5,5
1597340411,4,4
1597342328,7,4
1597344283,3,6
1597346176,76,4
1597348100,12,4
1597350010,10,5
1597351954,8,3
1597354120,153,4
1597356966,15,9
1597358885,3,2
1597360804,7,2
1597362726,10,10
1597364679,7,9
1597366565,5,5
1597368488,4,9
1597370457,5,4
1597372330,3,4
1597374500,3,8
1597376417,2,7
1597378358,1,3
1597380272,5,2
1597382169,6,3
1597384126,3,3
1597386043,5,6
1597387931,4,2
1597389904,4,7
1597391782,10,2
1597393694,3,10
1597396568,4,8
1597398515,2,3
1597400408,5,6
