DateTime,Entries,UniqueIPs
1596414253,10637,10637
1596416202,10641,10641
1596418093,10641,10641
1596420994,10639,10639
1596422894,10633,10633
1596424841,10595,10595
1596426735,8086,8086
1596428655,6730,6730
1596430602,4964,4964
1596432494,3290,3290
1596435391,2202,2202
1596437292,2071,2071
1596439242,2189,2189
1596441133,2184,2184
1596443055,2180,2180
1596445007,2178,2178
1596446890,2177,2177
1596449786,1974,1974
1596451689,1974,1974
1596453642,1877,1877
1596455530,1878,1878
1596457452,1876,1876
1596459431,2305,2305
1596461290,4107,4107
1596463373,5315,5315
1596465367,6738,6738
1596467343,8018,8018
1596469206,9406,9406
1596471129,10375,10375
1596473082,10462,10462
1596474970,10461,10461
1596477132,10480,10480
1596479048,10473,10473
1596480999,10471,10471
1596482888,10475,10475
1596484913,10473,10473
1596486765,10476,10476
1596488663,10479,10479
1596490570,10478,10478
1596492536,10477,10477
1596494409,10474,10474
1596496597,10471,10471
1596498737,10477,10477
1596500659,10479,10479
1596502604,10478,10478
1596504489,10484,10484
1596507368,11862,11862
1596509208,13983,13983
1596511244,16425,16425
1596513137,19860,19860
1596515318,20843,20843
1596517325,21499,21499
1596519165,22141,22141
1596521082,22291,22291
1596523069,22298,22298
1596524929,22295,22295
1596526816,22306,22306
1596528732,22304,22304
1596530686,22306,22306
1596532607,22300,22300
1596534494,22304,22304
1596536443,22303,22303
1596538337,22301,22301
1596540253,22306,22306
1596542884,22306,22306
1596544973,22314,22314
1596547044,21606,21606
1596548899,20588,20588
1596550840,20593,20593
1596552728,19976,19976
1596554664,19389,19389
1596556600,18765,18765
1596558513,18597,18597
1596560504,18594,18594
1596562363,18648,18648
1596564253,18762,18762
1596566170,18762,18762
1596568161,18762,18762
1596570012,18754,18754
1596572010,18757,18757
1596573883,18763,18763
1596575777,18764,18764
1596577692,18762,18762
1596579642,18765,18765
1596581528,18771,18771
1596583456,18775,18775
1596585402,18777,18777
1596587298,18775,18775
1596589286,18821,18821
1596591166,18761,18761
1596593063,17919,17919
1596594982,15721,15721
1596596925,11866,11866
1596598812,7995,7995
1596600732,5627,5627
1596602691,4360,4360
1596604573,3078,3078
1596606499,2082,2082
1596608442,2067,2067
1596610397,2072,2072
1596612284,2068,2068
1596614176,2067,2067
1596616101,2543,2543
1596618131,2551,2551
1596619945,2553,2553
1596622152,2545,2545
1596624043,2552,2552
1596625946,2556,2556
1596627854,2771,2771
1596629810,2771,2771
1596631694,2774,2774
1596633614,2844,2844
1596635563,2548,2548
1596637467,2210,2210
1596639372,2205,2205
1596641422,2212,2212
1596643274,2217,2217
1596645156,2222,2222
1596647083,2218,2218
1596648975,2050,2050
1596651175,2051,2051
1596653052,2054,2054
1596655223,2054,2054
1596657136,2056,2056
1596659117,2030,2030
1596660973,2026,2026
1596662903,2017,2017
1596666011,2021,2021
1596667932,2022,2022
1596669880,2024,2024
1596671783,2020,2020
1596673687,2016,2016
1596676816,2021,2021
1596678729,2024,2024
1596680686,1991,1991
1596682598,1991,1991
1596685450,1997,1997
1596687372,1990,1990
1596689323,1990,1990
1596691208,1991,1991
1596693128,1996,1996
1596695085,1996,1996
1596696972,1989,1989
1596698886,1987,1987
1596702011,1651,1651
1596703930,1353,1353
1596705928,1355,1355
1596707777,1354,1354
1596709692,1365,1365
1596712584,1362,1362
1596714525,1109,1109
1596716409,1104,1104
1596718334,1096,1096
1596720250,1013,1013
1596722187,1017,1017
1596724117,1096,1096
1596726093,1106,1106
1596727961,1099,1099
1596729915,1091,1091
1596731771,1091,1091
1596733724,1095,1095
1596735608,1090,1090
1596737534,1082,1082
1596739479,1086,1086
1596741374,1089,1089
1596743289,1086,1086
1596745246,1084,1084
1596747150,1087,1087
1596749054,1097,1097
1596751001,1095,1095
1596752893,1086,1086
1596754858,1083,1083
1596756760,1074,1074
1596758655,1071,1071
1596760570,1077,1077
1596762519,1074,1074
1596764412,1074,1074
1596766332,1068,1068
1596768284,1061,1061
1596770167,1057,1057
1596772090,1058,1058
1596774018,1054,1054
1596775932,2038,2038
1596777886,3430,3430
1596779808,4915,4915
1596781690,6233,6233
1596783753,7472,7472
1596785796,8876,8876
1596787702,10090,10090
1596789613,11145,11145
1596791570,11145,11145
1596793452,11143,11143
1596795409,11140,11140
1596797320,11122,11122
1596799211,11121,11121
1596801128,11119,11119
1596803053,11122,11122
1596804968,11120,11120
1596806929,11118,11118
1596810037,11049,11049
1596811927,11057,11057
1596813851,11054,11054
1596815797,11051,11051
1596817687,11052,11052
1596819660,11048,11048
1596821555,11047,11047
1596823726,11047,11047
1596825629,11048,11048
1596827551,11260,11260
1596829479,11543,11543
1596831373,11540,11540
1596833329,11542,11542
1596835238,11535,11535
1596837127,11544,11544
1596839050,11541,11541
1596840997,11542,11542
1596842892,11547,11547
1596844939,11553,11553
1596846998,11549,11549
1596848887,11549,11549
1596850808,11550,11550
1596852761,11597,11597
1596854652,11599,11599
1596856570,11599,11599
1596858520,11598,11598
1596860407,11600,11600
1596862334,10613,10613
1596864282,9246,9246
1596866167,7757,7757
1596868087,6446,6446
1596870146,5232,5232
1596872199,3867,3867
1596874086,2698,2698
1596876009,1629,1629
1596877980,1628,1628
1596879851,1627,1627
1596882018,1627,1627
1596883931,1638,1638
1596885880,1647,1647
1596887771,1642,1642
1596889690,1643,1643
1596891728,1649,1649
1596893529,1654,1654
1596895452,1650,1650
1596897407,1649,1649
1596899289,1642,1642
1596901208,1642,1642
1596903172,1645,1645
1596905049,1653,1653
1596906970,1659,1659
1596908946,1665,1665
1596910815,1663,1663
1596912750,1668,1668
1596914683,1065,1065
1596916567,1061,1061
1596918493,1062,1062
1596920526,1070,1070
1596922335,1071,1071
1596924251,1062,1062
