DateTime,AddedIPs,RemovedIPs
1596318727,0,1
1596320742,0,1
1596322609,1,3
1596324522,18,2
1596327398,1,0
1596329287,1,1
1596331234,1,0
1596333160,1,1
1596335072,1,1
1596336972,7,0
1596338912,3,2
1596342049,3,2
1596343933,1,0
1596345882,1,2
1596347786,4,11
1596349689,0,14
1596352573,1,1
1596354525,1,1
1596356409,2,0
1596358333,2,2
1596360286,1,0
1596362176,3,2
1596364104,1,1
1596366992,1,2
1596368894,1,2
1596370851,1,0
1596374654,1,1
1596376604,2,0
1596378516,1,1
1596380461,0,2
1596382357,2,0
1596384254,3,0
1596386171,4,1
1596388128,18,0
1596390284,2,2
1596394092,1,0
1596396038,1,1
1596399851,2,1
1596401851,3,0
1596403691,3,0
1596405637,2,0
1596407631,3,0
1596409513,1,2
1596411372,2,18
1596413323,1,1
1596415213,4,1
1596417148,1,1
1596420998,2,2
1596422897,9,7
1596424844,1,4
1596426737,2,1
1596428657,3,2
1596430604,0,2
1596435413,6,5
1596437294,2,1
1596439245,6,0
1596441165,1,1
1596443057,2,2
1596445010,3,1
1596446895,2,1
1596448993,15,3
1596450975,2,1
1596452924,1,0
1596454806,1,3
1596456726,1,2
1596458680,3,0
1596460577,3,1
1596462731,5,2
1596464650,2,1
1596466604,2,0
1596470428,2,6
1596472378,2,1
1596474256,1,19
1596476179,14,1
1596478123,5,1
1596480009,4,1
1596481934,2,1
1596483883,4,0
1596485778,3,1
1596487714,2,3
1596489643,1,4
1596491532,1,1
1596493454,2,3
1596495428,1,3
1596497290,3,1
1596500166,2,4
1596502087,1,2
1596504042,1,1
1596505934,14,0
1596509237,4,12
1596511249,5,1
1596513140,1,2
1596515321,2,3
1596517377,1,0
1596519367,3,0
1596521355,3,5
1596523210,1,2
1596525141,2,4
1596527082,1,3
1596528970,1,1
1596530907,1,2
1596532872,1,1
1596534730,0,16
1596536651,0,1
1596538598,3,1
1596540486,2,1
1596542888,2,2
1596544979,1,3
1596547048,5,3
1596548904,3,4
1596550844,4,2
1596552732,0,2
1596554668,3,0
1596556602,5,1
1596558516,1,3
1596560545,5,1
1596562367,1,2
1596564285,1,4
1596566174,1,1
1596568165,2,4
1596570016,3,4
1596572016,4,2
1596573887,18,2
1596575781,2,2
1596577721,0,1
1596579644,1,2
1596581531,2,1
1596583459,2,2
1596585405,0,2
1596587300,0,2
1596590446,0,2
1596592331,4,14
1596594254,2,1
1596596205,2,16
1596598090,1,4
1596600989,2,2
1596602891,2,1
1596604840,1,2
1596606729,1,5
1596608654,1,1
1596610956,102,2
1596613000,2,0
1596614892,2,1
1596616808,1,3
1596618761,0,1
1596620654,1,0
1596622648,2,0
1596624515,0,2
1596626469,1,1
1596628363,0,1
1596632289,2,0
1596634122,1,2
1596637004,1,3
1596638896,3,0
1596640810,5,1
1596642760,2,1
1596644655,1,0
1596646574,2,2
1596648525,1,1
1596650625,1,0
1596652603,2,1
1596654560,3,1
1596656411,3,1
1596658362,0,1
1596660256,2,17
1596662174,0,1
1596664124,1,1
1596666013,2,1
1596667936,3,3
1596669899,1,2
1596679693,3,2
1596681615,1,1
1596683561,2,0
1596685454,1,1
1596687374,2,0
1596689324,0,3
1596691212,1,1
1596693147,3,1
1596695088,10,1
1596696976,0,133
1596698889,0,2
1596700959,1,6
1596703002,2,1
1596704895,2,0
1596706833,0,2
1596708763,2,2
1596710704,1,1
1596712671,1,0
1596714527,1,1
1596718337,0,1
1596720254,2,1
1596722199,3,2
1596724119,3,2
1596726149,2,3
1596727963,0,3
1596729926,0,2
1596731774,2,2
1596733725,1,2
1596737536,0,3
1596739481,2,0
1596741378,0,5
1596743291,12,3
1596745248,1,0
1596747152,1,1
1596749056,1,0
1596751003,2,0
1596752896,0,2
1596754931,0,5
1596760571,0,2
1596762520,1,1
1596764414,2,1
1596766333,1,2
1596768285,1,1
1596770169,2,2
1596772121,2,2
1596774021,0,1
1596775934,1,0
1596777888,3,1
1596779818,1,8
1596781692,1,5
1596785798,2,0
1596787704,0,1
1596789615,1,2
1596791571,0,1
1596795411,1,2
1596797322,3,1
1596799214,1,1
1596801130,3,0
1596803056,1,1
1596804973,4,0
1596806933,6,2
1596808958,2,3
1596810770,2,2
1596812664,1,1
1596814576,1,0
1596816527,2,0
1596818420,1,2
1596820337,1,1
1596826098,0,2
1596828042,4,1
1596829936,5,11
1596831857,1,1
1596833804,1,0
1596835692,0,1
1596838606,1,2
1596842411,2,0
1596844378,1,0
1596848172,2,0
1596850091,0,2
1596852129,5,2
1596855854,1,2
1596857803,1,2
1596859691,18,1
1596861618,2,0
1596863563,3,4
1596865456,1,1
1596867377,0,1
1596871212,1,0
1596873130,2,2
1596875085,0,1
1596876974,1,0
1596878934,1,0
1596883000,1,2
1596884893,0,3
1596886810,1,2
1596888767,2,2
1596890650,4,2
1596892574,0,6
1596894525,0,2
1596896408,1,4
1596900298,0,1
1596902175,4,1
1596904089,1,2
1596906143,4,1
1596908198,0,1
1596912008,3,0
1596913959,7,3
1596915853,5,3
1596917772,1,1
1596919719,3,1
1596921606,2,1
1596923540,2,1
1596925480,3,0
1596929314,0,2
1596932168,5,1
1596934148,0,1
1596936009,1,1
1596937926,1,3
1596939908,1,2
1596941778,0,1
1596943686,1,1
1596946578,1,19
1596948526,0,1
1596950422,0,4
1596952335,3,0
1596954296,1,0
1596956176,0,1
1596960164,2,2
1596964093,2,2
1596966009,1,0
1596969855,0,1
1596971791,8,1
1596973720,1,0
1596975608,1,3
1596977530,0,2
1596979484,2,0
1596983290,2,0
1596986172,1,0
1596988122,0,3
1596990018,2,2
1596991932,0,2
1596993878,2,2
1596995773,2,0
1596997693,2,3
1597000573,2,7
1597002522,0,5
1597004410,1,1
1597006329,0,3
1597008281,1,2
1597010172,0,2
1597012091,1,3
1597014097,2,0
1597018098,1,3
1597020012,0,1
1597021963,1,0
1597024125,6,1
1597026019,15,2
1597027944,2,0
1597029885,0,1
1597031792,1,0
1597033692,2,1
1597037532,0,1
1597039537,1,2
1597041407,2,1
1597045213,1,1
1597047159,2,2
1597049054,1,0
1597050977,0,1
1597052925,1,1
1597056734,1,2
1597058680,1,8
1597062490,1,1
1597066631,4,1
1597068520,1,1
1597070419,1,0
1597072364,1,1
1597074277,1,4
1597076180,0,2
1597078096,1,0
1597080042,4,2
1597081935,5,2
1597083855,0,1
1597085795,1,1
1597087689,1,1
1597090571,1,1
1597092494,1,0
1597094436,2,2
1597098256,0,1
1597100198,1,2
1597104053,1,1
1597107862,3,0
1597109771,0,5
1597111716,1,15
1597113616,0,4
1597115533,0,1
1597117480,0,1
1597119375,2,1
1597121295,0,1
1597123236,1,0
1597125134,0,2
1597127075,0,1
1597129002,0,1
1597130889,0,1
1597133772,4,3
1597135688,2,1
1597137640,3,0
1597139531,0,1
1597141457,1,0
1597143420,22,1
1597145291,1,1
1597149169,2,1
1597151066,3,1
1597152972,2,4
1597154918,0,1
1597156812,2,1
1597160653,2,1
1597162572,1,0
1597164524,4,1
1597166441,0,4
1597168355,1,6
1597172175,2,1
1597174092,2,2
1597176150,3,1
1597180127,1,3
1597182016,3,0
1597183968,1,1
1597185852,1,0
1597187776,2,1
1597189736,0,1
1597191617,6,0
1597193542,11,2
1597195484,0,1
1597197373,0,1
1597199296,4,0
1597201399,1,0
1597203397,2,0
1597205289,1,2
1597209158,1,0
1597211054,0,1
1597212967,1,0
1597214915,3,0
1597216808,2,0
1597220678,5,2
1597222569,1,3
1597224492,1,2
1597226565,3,1
1597228597,1,3
1597230495,0,20
1597232547,1,0
1597234360,1,1
1597236279,1,4
1597238184,2,0
1597240095,0,2
1597242049,2,0
1597243931,1,2
1597245861,3,1
1597247798,0,2
1597249935,14,2
1597252095,2,2
1597254010,2,1
1597256175,1,0
1597258104,2,1
1597260057,1,2
1597261940,0,3
1597263851,3,1
1597265806,1,1
1597267691,2,2
1597269742,4,2
1597271557,2,2
1597273452,2,2
1597275395,2,0
1597277321,0,3
1597279214,2,14
1597281138,1,0
1597283082,1,0
1597284973,2,1
1597286896,5,4
1597288836,0,1
1597290728,5,1
1597292661,51,1
1597294606,2,0
1597296491,4,1
1597298427,5,1
1597300357,17,2
1597302252,2,3
1597304169,2,0
1597306125,2,3
1597308015,1,3
1597309934,1,1
1597311880,4,3
1597313786,4,1
1597315742,4,1
1597319532,4,1
1597321451,4,1
1597323399,1,2
1597325318,3,1
1597327284,2,1
1597329188,1,2
1597331330,2,0
1597333243,2,3
1597335138,2,6
1597337081,1,10
1597339003,1,0
1597340891,3,2
1597342838,0,1
1597344760,2,1
1597346810,22,1
1597349796,1,3
1597351686,1,1
1597354122,4,2
1597356114,0,2
1597361796,0,2
1597365613,2,3
1597367566,0,1
1597369450,0,1
1597371373,1,0
1597373340,1,12
1597377127,0,5
1597379077,1,51
1597380968,1,2
1597382887,1,4
1597384895,1,8
1597386728,2,14
1597388897,1,2
1597390812,2,2
1597392763,2,2
1597394651,3,1
1597396570,1,1
1597398517,0,5
1597400410,5,3
