DateTime,AddedIPs,RemovedIPs
1596250574,0,1
1596252495,1,0
1596254556,1,1
1596256603,0,1
1596262612,0,1
1596265752,0,1
1596267616,4,0
1596269570,0,1
1596271479,1,0
1596273381,1,0
1596275328,1,1
1596277214,1,3
1596281084,1,2
1596282971,3,4
1596284894,2,2
1596287772,2,1
1596289723,2,0
1596291613,0,5
1596293535,0,1
1596295458,0,2
1596297402,3,4
1596299296,1,1
1596302438,1,1
1596304330,2,2
1596306253,0,1
1596308200,2,2
1596310335,2,1
1596312259,0,2
1596314205,0,2
1596316095,1,0
1596318011,1,1
1596319988,0,1
1596321967,2,0
1596323876,1,2
1596325687,1,1
1596327608,1,2
1596329562,1,4
1596331451,1,1
1596333394,1,1
1596338173,3,1
1596342050,1,0
1596343934,3,0
1596349691,1,0
1596352807,1,0
1596354727,2,4
1596360761,1,1
1596362688,0,4
1596364603,0,1
1596366494,1,0
1596368410,3,2
1596370337,4,3
1596372284,1,1
1596374175,2,2
1596376095,0,2
1596383804,0,3
1596387647,0,2
1596389565,0,1
1596391486,2,1
1596393376,1,1
1596395335,0,2
1596397215,3,0
1596401082,0,1
1596404905,0,1
1596406840,0,1
1596408730,1,0
1596410650,1,2
1596412602,1,0
1596414515,1,2
1596418368,1,1
1596420262,1,1
1596422172,3,0
1596424121,1,1
1596426017,2,2
1596427929,1,1
1596429880,0,1
1596431771,0,1
1596433689,3,0
1596435679,0,1
1596437528,1,2
1596439451,1,0
1596441412,0,1
1596446169,3,1
1596448339,1,0
1596450249,1,1
1596452228,2,0
1596454112,1,2
1596456075,0,3
1596457963,1,2
1596459851,2,2
1596461772,0,1
1596471387,1,0
1596473289,1,0
1596477135,1,2
1596479054,2,0
1596481014,1,1
1596482891,0,1
1596485004,1,1
1596486969,1,0
1596488921,2,0
1596490806,2,0
1596492974,2,0
1596494907,1,1
1596496861,1,0
1596498741,3,1
1596500666,1,1
1596504492,1,1
1596507374,2,4
1596509239,5,2
1596511251,1,1
1596513142,0,1
1596515323,0,3
1596519370,3,1
1596521367,0,1
1596523212,1,2
1596527083,2,1
1596528972,2,0
1596530909,1,1
1596532875,3,0
1596534731,0,1
1596536653,3,1
1596538600,1,3
1596540488,2,1
1596542890,0,1
1596544982,0,2
1596547049,2,0
1596548921,2,0
1596552743,2,0
1596554671,2,0
1596556604,1,0
1596558518,3,0
1596562388,1,0
1596564291,4,2
1596566175,2,0
1596568167,2,0
1596572017,1,1
1596573889,2,0
1596575782,0,3
1596577724,1,2
1596579646,1,1
1596581532,2,1
1596583461,2,1
1596585407,0,3
1596587302,2,1
1596589367,2,1
1596593082,1,0
1596594983,0,3
1596596928,0,3
1596598814,1,1
1596602693,1,0
1596606500,1,2
1596608445,2,0
