DateTime,Entries,UniqueIPs
1596428659,979,979
1596430606,978,978
1596432498,982,982
1596434585,976,976
1596436586,978,978
1596438521,975,975
1596440411,982,982
1596442328,989,989
1596444284,988,988
1596446170,1000,1000
1596448339,1005,1005
1596450249,1002,1002
1596452228,1014,1014
1596454113,1032,1032
1596457239,1037,1037
1596459127,1039,1039
1596461084,1041,1041
1596463000,1043,1043
1596464896,1040,1040
1596466875,1040,1040
1596468769,1045,1045
1596470651,1055,1055
1596472568,1056,1056
1596474522,1052,1052
1596476407,1045,1045
1596478330,1038,1038
1596480280,1029,1029
1596482170,1026,1026
1596484088,1023,1023
1596486038,1023,1023
1596487927,1020,1020
1596489847,1017,1017
1596491801,1016,1016
1596493685,1015,1015
1596495649,951,951
1596497570,944,944
1596499466,941,941
1596501368,927,927
1596503323,928,928
1596505211,937,937
1596507132,1285,1285
1596509239,1480,1480
1596511253,1492,1492
1596513142,1506,1506
1596515323,1510,1510
1596517385,1512,1512
1596519370,1512,1512
1596521367,1509,1509
1596523212,1506,1506
1596525142,1500,1500
1596527104,1491,1491
1596528973,1541,1541
1596530910,1540,1540
1596532876,1536,1536
1596534732,1535,1535
1596536653,1537,1537
1596538600,1526,1526
1596540488,1506,1506
1596542890,1500,1500
1596544984,1500,1500
1596547050,1491,1491
1596548921,1498,1498
1596550849,1508,1508
1596552745,1509,1509
1596554672,1509,1509
1596556605,1518,1518
1596558518,1518,1518
1596560548,1517,1517
1596562389,1524,1524
1596564291,1543,1543
1596566181,1552,1552
1596568167,1561,1561
1596570018,1556,1556
1596572019,1554,1554
1596573889,1559,1559
1596575783,1563,1563
1596577724,1562,1562
1596579646,1565,1565
1596581532,1548,1548
1596583461,1549,1549
1596585407,1549,1549
1596587303,1568,1568
1596589373,1581,1581
1596591377,1584,1584
1596593321,1370,1370
1596595213,891,891
1596597129,917,917
1596599079,926,926
1596601956,966,966
1596603852,961,961
1596605771,980,980
1596607724,989,989
1596609627,985,985
1596611573,989,989
1596613451,987,987
1596615371,990,990
1596617325,994,994
1596619209,923,923
1596621133,925,925
1596623051,929,929
1596624983,958,958
1596626923,963,963
1596628870,970,970
1596630727,973,973
1596632695,978,978
1596634569,983,983
1596636491,979,979
1596638443,976,976
1596640333,977,977
1596642257,968,968
