DateTime,AddedIPs,RemovedIPs
1596408494,2,1
1596410443,3,2
1596412355,8,1
1596414258,4,3
1596416206,2,2
1596418097,3,6
1596420999,7,4
1596422899,1,2
1596424846,2,0
1596426738,6,2
1596428659,4,2
1596430606,6,1
1596432498,1,1
1596434601,8,2
1596436586,3,19
1596438521,17,1
1596440412,3,6
1596442329,1,4
1596444285,2,3
1596446170,6,1
1596448340,4,2
1596450250,8,3
1596452229,4,1
1596454115,6,2
1596457240,10,6
1596459128,1,3
1596461084,4,2
1596463000,14,2
1596464896,2,0
1596466896,1,1
1596468769,5,1
1596470653,3,2
1596472568,4,2
1596474523,1,4
1596476407,4,3
1596478331,2,4
1596480281,3,4
1596482170,0,2
1596484088,2,3
1596486038,0,2
1596487927,2,3
1596489847,3,1
1596491801,3,2
1596493685,3,0
1596495659,1,6
1596497571,4,1
1596499470,3,9
1596501368,3,3
1596503323,4,4
1596505211,1,1
1596507132,0,4
1596509239,1,1
1596511253,2,2
1596513143,2,6
1596515323,1,4
1596517387,1,6
1596519370,3,1
1596521368,3,10
1596523212,7,2
1596525142,11,17
1596527105,5,2
1596528973,3,1
1596530910,0,2
1596532876,2,5
1596534732,1,4
1596536654,4,8
1596538601,0,4
1596540490,4,6
1596542891,1,8
1596544984,0,2
1596547050,3,4
1596548922,2,12
1596550850,2,4
1596552745,3,0
1596554672,0,5
1596556605,1,3
1596558518,1,2
1596560548,2,3
1596562389,2,5
1596564292,2,1
1596566181,1,3
1596568168,1,1
1596570018,1,1
1596572019,3,1
1596573890,4,0
1596575783,4,5
1596577724,5,2
1596579647,1,6
1596581533,1,1
1596583461,3,3
1596585408,0,3
1596587303,0,3
1596589376,1,4
1596591377,1,2
1596593322,1,0
1596595213,1,1
1596597129,0,1
1596599079,0,3
1596601020,0,3
1596602892,2,0
1596604841,2,4
1596606730,1,1
1596608655,1,5
1596610958,0,13
1596613045,1,7
1596614894,0,3
1596616809,2,1
1596618763,4,2
1596620655,1,1
1596622649,0,3
1596624516,0,1
1596626470,1,4
1596628364,0,1
1596630255,6,0
1596632290,1,2
1596634123,2,2
1596637005,3,3
1596638897,1,3
1596640811,2,0
1596644656,2,2
1596646575,2,2
1596648526,0,2
1596650677,1,2
1596652604,0,1
1596654562,3,1
1596656412,1,1
1596658364,2,3
1596660258,0,4
1596662176,1,4
1596664125,0,5
1596666014,1,1
1596667938,2,1
1596669901,2,3
1596671789,1,0
1596673691,4,0
1596675823,1,1
1596677801,4,1
1596679695,7,1
1596681617,3,1
1596683562,5,0
1596685456,3,0
1596687375,3,0
1596689326,2,2
1596691214,6,2
1596693149,2,1
1596695092,4,1
1596696978,10,0
1596698891,6,1
1596700964,3,0
1596703003,4,1
1596704910,2,5
1596706836,2,1
1596708765,1,0
1596710705,5,0
1596712695,1,1
1596714530,1,0
1596716449,1,4
1596718346,2,2
1596720257,2,3
1596722203,4,2
1596724121,3,2
1596726217,2,1
1596728198,5,1
1596730125,2,0
1596732030,7,3
1596733957,3,1
1596735883,0,1
1596737773,6,0
1596739693,1,1
1596741640,1,3
1596743533,6,0
1596745455,2,2
1596747455,2,0
1596749288,4,1
1596751287,1,0
1596753162,3,2
1596755055,1,2
1596756972,0,1
1596758923,5,4
1596760813,2,2
1596762732,3,0
1596764685,2,2
1596766575,5,7
1596768734,5,1
1596770653,5,5
1596772603,2,3
1596774492,0,3
1596777607,2,6
1596779535,2,2
1596781482,7,4
1596783368,2,10
1596785331,1,6
1596787300,1,4
1596789134,5,3
1596791096,1,3
1596792998,3,2
1596794897,2,1
1596796808,2,5
1596798762,2,1
1596802614,0,2
1596804499,8,1
1596806565,6,2
1596808603,7,4
1596810487,19,3
1596812541,7,2
1596814358,6,5
1596816255,2,3
1596818171,0,8
1596820126,11,3
1596822012,6,0
1596823931,4,6
1596825881,7,0
1596827772,1,2
1596829694,8,6
1596831638,9,1
1596833530,5,2
1596835450,7,3
1596837398,5,2
1596839301,7,3
1596841284,15,1
1596843127,5,0
1596844983,3,5
1596847000,0,1
1596848889,2,3
1596850810,3,2
1596852763,3,6
1596854655,1,4
1596856591,1,7
1596858521,2,3
1596860412,4,0
1596862336,1,1
1596864286,3,1
1596866170,6,3
1596868091,3,6
1596870194,0,3
1596872202,6,0
1596874087,5,3
1596876013,0,3
1596877983,3,1
1596879853,2,4
1596882020,5,1
1596883934,0,3
1596885884,2,1
1596887775,2,0
1596889693,7,0
