DateTime,AddedIPs,RemovedIPs
1596424847,71,56
1596426739,85,77
1596428659,67,62
1596430606,57,67
1596432498,66,61
1596434610,60,60
1596436587,61,71
1596438522,98,59
1596440412,54,64
1596442329,39,31
1596444285,60,63
1596446170,72,73
1596448340,104,81
1596450250,69,84
1596452229,96,86
1596454115,77,62
1596456088,76,54
1596457964,69,65
1596459851,55,59
1596461772,81,82
1596463729,70,76
1596465609,60,59
1596467535,51,75
1596469482,52,53
1596471388,83,59
1596473289,75,89
1596475251,65,100
1596477135,57,96
1596479054,49,101
1596481015,49,76
1596482891,48,97
1596485013,40,114
1596486970,53,91
1596488921,58,96
1596490807,34,77
1596492975,62,103
1596494908,58,70
1596496861,70,172
1596498742,61,92
1596500667,69,76
1596502608,47,77
1596504492,63,86
1596506440,58,86
1596509248,97,135
1596511254,63,90
1596513143,52,88
1596515324,70,84
1596517389,67,66
1596519389,56,74
1596521368,47,74
1596523213,76,71
1596525143,82,102
1596527106,76,57
1596528974,73,52
1596530911,102,67
1596532876,52,62
1596534733,65,78
1596536654,131,67
1596538601,150,80
1596540490,165,65
1596542898,117,85
1596544994,80,83
1596547051,91,67
1596548922,100,84
1596550850,80,66
1596552755,81,66
1596554672,67,53
1596556606,78,64
1596558519,60,81
1596560549,79,85
1596562389,46,55
1596564292,73,51
1596566182,96,56
1596568168,73,48
1596570018,66,57
1596572027,107,44
1596573890,95,53
1596575784,77,66
1596577725,75,56
1596579647,83,71
1596581533,82,56
1596583462,83,71
1596585408,88,74
1596587303,76,73
1596589382,94,68
1596591378,96,83
1596593322,62,56
1596595214,77,77
1596597129,75,69
1596599080,57,78
1596601020,67,83
1596602893,63,56
1596604850,61,75
1596606730,60,60
1596608656,71,59
1596610958,185,94
1596613050,83,99
1596614895,61,74
1596616809,49,80
1596618771,59,66
1596620664,64,70
1596622650,45,103
1596624517,54,116
1596626480,53,182
1596628364,63,111
1596630255,40,67
1596632290,71,71
1596634124,52,82
1596637005,97,111
1596638906,52,72
1596640811,80,56
1596642769,97,85
1596644664,54,61
1596646586,77,59
1596648526,72,59
1596650683,96,70
1596652605,68,88
1596654563,81,69
1596656421,131,62
1596658364,137,96
1596660266,103,85
1596662176,94,81
1596664126,120,72
1596666015,108,68
1596667946,165,85
1596669911,108,78
1596671799,124,72
1596673692,88,76
1596675840,105,91
1596677810,107,69
1596679696,110,61
1596681618,98,61
1596683563,97,57
1596685456,93,53
1596687375,67,69
1596689326,60,65
1596691223,67,51
1596693149,71,63
1596695092,84,71
1596696988,70,201
1596698891,65,69
1596700965,73,75
1596703004,67,52
1596704910,217,54
1596706836,268,65
1596708765,173,49
1596710707,203,54
1596712717,191,48
1596714530,178,66
1596716449,167,38
1596718346,160,54
1596720257,179,52
1596722212,162,67
