DateTime,AddedIPs,RemovedIPs
1596426741,6,10
1596428661,1,9
1596430608,10,7
1596432500,1,6
1596434673,2,6
1596436589,6,7
1596438524,8,7
1596440415,4,4
1596442334,5,4
1596444287,4,8
1596446186,6,4
1596448389,7,7
1596450255,6,5
1596452232,8,5
1596454119,5,5
1596456164,1,5
1596457968,5,3
1596459855,17,4
1596461778,5,6
1596463732,6,3
1596465615,4,5
1596467539,3,9
1596469485,6,5
1596471391,5,5
1596473292,4,5
1596475257,7,5
1596477137,6,5
1596479057,1,5
1596481021,9,4
1596482893,6,4
1596485110,4,7
1596486975,3,1
1596488923,4,5
1596490810,6,4
1596492978,1,5
1596494910,6,8
1596496881,7,3
1596498748,5,5
1596500669,3,4
1596502629,7,8
1596504503,4,5
1596506565,6,4
1596509253,7,5
1596511258,3,0
1596513150,3,5
1596515328,5,1
1596517456,4,9
1596519393,6,2
1596521373,4,2
1596523218,6,7
1596525146,11,8
1596527112,3,3
1596528978,4,4
1596530916,11,6
1596532883,6,5
1596534737,5,6
1596536658,2,5
1596538605,4,10
1596540522,11,4
1596542904,2,2
1596544999,3,20
1596547068,6,3
1596548929,7,7
1596550857,5,4
1596552772,1,5
1596554678,4,5
1596556610,4,4
1596558523,2,4
1596560558,6,6
1596562394,3,5
1596564297,4,3
1596566186,4,2
1596568173,2,8
1596570022,3,6
1596572041,3,4
1596573898,4,3
1596575788,4,4
1596577747,6,5
1596579652,8,2
1596581538,5,6
1596583466,7,5
1596585412,7,3
1596587308,4,5
1596589405,5,7
1596591385,6,6
1596593327,3,5
1596595221,1,4
1596597133,10,4
1596599084,4,4
1596601025,3,6
1596602897,1,3
1596604854,2,3
1596606734,15,4
1596608660,3,6
1596610963,6,13
1596613073,7,8
1596614900,1,4
1596616814,2,7
1596618777,8,8
1596620668,5,7
1596622654,4,1
1596624524,6,4
1596626486,5,11
1596628368,3,2
1596630259,3,2
1596632294,5,8
1596634127,3,3
1596637009,9,6
1596638913,0,3
1596640817,1,5
1596642772,4,2
1596644669,1,3
1596646589,6,6
1596648539,3,3
1596650766,4,3
1596652611,3,4
1596654566,4,2
1596656424,7,3
1596658369,3,3
1596660270,3,4
1596662180,2,5
1596664129,7,5
1596666019,3,7
1596667952,5,6
1596669920,3,6
1596671809,4,6
1596673695,3,3
1596675889,3,6
1596677814,4,6
1596679699,0,3
1596681621,4,1
1596683566,3,10
1596685463,4,5
1596687379,4,4
1596689330,3,1
1596691227,3,2
1596693154,5,13
1596695097,4,6
1596696995,9,3
1596698895,3,10
1596700970,3,1
1596703007,7,4
1596704917,6,6
1596706843,3,3
1596708769,4,3
1596710713,2,6
1596712774,4,6
1596714770,6,3
1596716717,5,3
1596718575,5,3
1596720527,1,4
1596723406,5,11
1596725298,4,0
1596727244,2,1
1596729144,1,4
1596731055,5,1
1596733011,2,8
1596734894,4,3
1596737027,4,4
1596738987,1,4
1596740920,6,3
1596742816,5,7
1596744733,3,3
1596746680,3,4
1596748572,4,2
1596750497,4,7
1596752441,4,3
1596754332,5,4
1596756276,5,3
1596758225,1,4
1596760091,5,3
1596763002,8,6
1596764892,5,2
1596766842,1,3
1596768738,6,1
1596770655,2,4
1596772606,4,5
1596774494,2,1
1596776538,4,5
1596778599,5,4
1596780493,3,1
1596782427,6,5
1596784360,7,9
1596786253,1,2
1596788181,4,5
1596790118,15,9
1596792007,9,2
1596793931,2,4
1596795880,4,2
1596797777,7,1
1596799689,5,7
1596801700,3,6
1596803777,3,4
1596805733,8,3
1596807608,4,2
1596809531,4,2
1596811494,9,6
1596813373,4,2
1596815291,9,1
1596817241,4,5
1596819132,2,1
1596821051,7,5
1596822999,4,3
1596824890,1,1
1596826872,4,6
1596828759,4,7
1596830656,2,1
1596832591,1,5
1596834523,0,3
1596836411,3,4
1596838329,3,5
1596840278,5,3
1596842170,1,6
1596844123,3,0
1596846010,2,5
1596847928,4,5
1596849878,2,4
1596851771,1,4
1596853945,8,1
1596855856,3,4
1596857807,2,3
1596859692,5,5
1596861620,5,3
1596863564,1,4
1596865459,4,5
1596867381,2,5
1596869351,3,2
1596871214,6,8
1596873132,3,2
1596875088,6,4
1596876975,11,17
1596878937,8,5
1596881015,4,2
1596883019,5,6
1596884897,6,6
1596886812,5,3
1596888772,7,5
1596890652,5,4
1596892576,6,9
1596894527,5,7
1596896412,4,4
1596898344,10,7
1596900300,6,3
1596902185,4,10
1596904093,6,3
1596906158,4,4
1596908201,9,6
1596910123,4,2
1596912011,4,2
1596913961,8,3
1596915856,6,3
1596917776,1,1
1596919755,7,2
1596921610,5,1
1596923543,4,4
1596925482,1,3
1596927371,7,4
1596929317,2,2
1596931321,2,3
1596933138,5,4
1596935115,1,1
1596937006,6,4
1596938919,1,2
1596940821,2,6
