DateTime,AddedIPs,RemovedIPs
1596428664,28,38
1596430611,37,40
1596432502,49,29
1596434679,52,36
1596436591,57,27
1596438526,44,41
1596440418,35,59
1596442337,32,32
1596444290,61,28
1596446188,52,24
1596448394,54,35
1596450257,38,45
1596452235,34,42
1596454121,33,29
1596456200,60,44
1596458170,46,44
1596460123,48,19
1596462011,37,13
1596463933,42,5
1596465887,45,6
1596467770,41,8
1596469692,34,4
1596471645,27,6
1596473531,24,5
1596475454,49,7
1596477400,72,49
1596479293,45,62
1596482173,48,55
1596484092,60,12
1596486042,70,22
1596487930,55,58
1596489852,51,73
1596491804,44,40
1596493690,24,39
1596495779,39,34
1596497771,48,38
1596499724,45,84
1596501619,35,86
1596503532,58,41
1596505536,58,39
1596507380,41,27
1596509256,56,51
1596511260,49,52
1596513153,24,46
1596515330,56,23
1596517470,64,36
1596519408,40,47
1596521375,47,46
1596523221,33,46
1596525148,22,43
1596527115,43,40
1596528980,48,41
1596530918,43,54
1596532885,25,47
1596534739,36,43
1596536660,34,34
1596538607,24,34
1596540524,37,37
1596542906,57,63
1596545002,55,44
1596547095,39,44
1596548931,32,34
1596550860,40,32
1596552774,36,43
1596554680,27,38
1596556612,25,37
1596558525,24,25
1596560562,41,34
1596562398,37,51
1596564298,38,65
1596566188,48,37
1596568175,50,30
1596570024,46,46
1596572044,35,67
1596573931,45,59
1596575791,45,44
1596577749,35,49
1596579654,49,32
1596581540,48,28
1596583468,38,46
1596585415,45,43
1596587311,25,32
1596589415,33,54
1596591387,39,74
1596593328,37,45
1596595223,34,50
1596597135,35,46
1596599087,48,30
1596601027,41,45
1596602898,38,54
1596604866,47,40
1596606736,46,55
1596608661,35,43
1596610966,40,28
1596613075,41,41
1596614903,47,43
1596616825,48,50
1596618780,35,25
1596620670,40,34
1596622656,34,36
1596624526,28,27
1596626498,41,35
1596628370,23,48
1596630261,35,58
1596632296,50,38
1596634129,51,47
1596637010,51,63
1596638915,35,36
1596640820,28,30
1596642775,39,22
1596644680,33,27
1596646592,28,36
1596648541,30,42
1596650793,34,46
1596652613,19,51
1596654568,27,52
1596656426,34,46
1596658371,43,33
1596660272,38,43
1596662182,29,42
1596664131,41,35
1596666021,31,56
1596667963,40,48
1596669927,35,36
1596671820,36,44
1596673697,62,20
1596675924,49,40
1596677826,45,34
1596679701,32,42
1596681623,33,37
1596683567,30,42
1596685465,42,47
1596687380,34,35
1596689332,41,38
1596691238,21,43
1596693156,44,44
1596695099,33,35
1596696997,37,41
1596698897,41,23
1596700973,42,48
1596703009,30,51
1596704919,29,30
1596706845,44,47
1596708771,37,39
1596710715,33,31
1596712776,39,46
1596714771,32,20
1596716729,34,41
1596718589,18,52
1596720528,37,53
1596722525,25,34
1596724342,17,22
1596726232,13,30
1596728202,28,32
1596730129,23,39
1596732032,20,32
1596733959,33,32
1596735886,43,30
1596737777,28,23
1596739696,13,29
1596741643,27,28
1596743536,19,40
1596745457,31,53
1596747458,38,35
1596749291,19,34
1596751365,18,42
1596753373,16,37
1596755320,33,46
1596757229,43,34
1596759134,16,56
1596761083,17,54
1596763003,15,41
1596764893,36,42
1596766843,25,24
1596768739,48,36
1596770656,26,41
1596772607,24,37
1596774496,22,35
1596776550,28,42
1596778600,34,35
1596780495,22,42
1596782429,18,37
1596784362,19,45
1596786255,19,48
1596788183,36,30
1596790120,23,31
1596792009,36,32
1596793932,23,42
1596795882,25,27
1596797779,23,44
1596799690,31,29
1596801779,11,35
1596803779,24,31
1596805735,18,35
1596807609,24,35
1596809533,35,24
1596811496,24,14
1596813374,37,24
1596815293,19,24
1596817248,20,23
1596819134,32,22
1596821053,26,40
1596823001,28,44
1596824892,21,19
1596828046,50,33
1596829939,26,19
1596831860,22,32
1596833806,28,39
1596835695,27,20
1596837735,25,23
1596839567,28,13
1596841516,38,31
1596843402,47,51
1596845316,34,18
1596847214,31,14
1596849172,28,19
1596851054,25,35
1596853009,34,24
1596854926,47,47
1596856836,32,30
1596858734,31,23
1596860688,30,25
1596862571,31,23
1596864494,29,26
1596866567,31,27
1596868599,29,21
1596870501,30,20
1596872418,27,20
1596874367,30,25
1596876252,37,31
1596878175,25,32
1596880129,34,21
1596882057,31,27
1596883937,32,23
1596885886,35,30
1596887778,36,14
1596889695,37,19
1596891772,15,19
1596893953,45,22
1596895968,47,39
1596897855,30,26
1596899804,34,33
1596901731,34,18
1596903618,42,15
1596905536,19,30
1596907483,18,23
1596909376,13,34
1596911324,32,24
1596913414,35,34
1596915400,42,25
1596917303,44,36
1596919236,30,20
1596921189,46,22
1596923056,35,39
1596924981,44,26
1596926928,42,38
1596928815,26,33
1596930748,27,49
1596932683,28,25
