DateTime,Entries,UniqueIPs
1596428664,1761,1761
1596430611,1758,1758
1596432502,1778,1778
1596434679,1794,1794
1596436591,1824,1824
1596438526,1827,1827
1596440418,1803,1803
1596442337,1803,1803
1596444290,1836,1836
1596446188,1864,1864
1596448394,1883,1883
1596450257,1876,1876
1596452235,1868,1868
1596454121,1872,1872
1596456200,1888,1888
1596458170,1890,1890
1596460123,1919,1919
1596462011,1943,1943
1596463933,1980,1980
1596465887,2019,2019
1596467770,2052,2052
1596469692,2082,2082
1596471645,2103,2103
1596473531,2122,2122
1596475454,2164,2164
1596477400,2187,2187
1596479293,2170,2170
1596482173,2163,2163
1596484092,2211,2211
1596486042,2259,2259
1596487930,2256,2256
1596489852,2234,2234
1596491804,2238,2238
1596493690,2223,2223
1596495779,2228,2228
1596497771,2238,2238
1596499724,2199,2199
1596501619,2148,2148
1596503532,2165,2165
1596505536,2184,2184
1596507380,2198,2198
1596509256,2203,2203
1596511260,2200,2200
1596513153,2178,2178
1596515330,2211,2211
1596517470,2239,2239
1596519408,2232,2232
1596521375,2233,2233
1596523221,2220,2220
1596525148,2199,2199
1596527115,2202,2202
1596528980,2209,2209
1596530918,2198,2198
1596532885,2176,2176
1596534739,2169,2169
1596536660,2169,2169
1596538607,2159,2159
1596540524,2159,2159
1596542906,2153,2153
1596545002,2164,2164
1596547095,2159,2159
1596548931,2157,2157
1596550860,2165,2165
1596552774,2158,2158
1596554680,2147,2147
1596556612,2135,2135
1596558525,2134,2134
1596560562,2141,2141
1596562398,2127,2127
1596564298,2100,2100
1596566188,2111,2111
1596568175,2131,2131
1596570024,2131,2131
1596572044,2099,2099
1596573931,2085,2085
1596575791,2086,2086
1596577749,2072,2072
1596579654,2089,2089
1596581540,2109,2109
1596583468,2101,2101
1596585415,2103,2103
1596587311,2096,2096
1596589415,2075,2075
1596591387,2040,2040
1596593328,2032,2032
1596595223,2016,2016
1596597135,2005,2005
1596599087,2023,2023
1596601027,2019,2019
1596602898,2003,2003
1596604866,2010,2010
1596606736,2001,2001
1596608661,1993,1993
1596610966,2005,2005
1596613075,2005,2005
1596614903,2009,2009
1596616825,2007,2007
1596618780,2017,2017
1596620670,2023,2023
1596622656,2021,2021
1596624526,2022,2022
1596626498,2028,2028
1596628370,2003,2003
1596630261,1980,1980
1596632296,1992,1992
1596634129,1996,1996
1596637010,1984,1984
1596638915,1983,1983
1596640820,1981,1981
1596642775,1998,1998
1596644680,2004,2004
1596646592,1996,1996
1596648541,1984,1984
1596650793,1972,1972
1596652613,1940,1940
1596654568,1915,1915
1596656426,1903,1903
1596658371,1913,1913
1596660272,1908,1908
1596662182,1895,1895
1596664131,1901,1901
1596666021,1876,1876
1596667963,1868,1868
1596669927,1867,1867
1596671820,1859,1859
1596673697,1901,1901
1596675924,1910,1910
1596677826,1921,1921
1596679701,1911,1911
1596681623,1907,1907
1596683567,1895,1895
1596685465,1890,1890
1596687380,1889,1889
1596689332,1892,1892
1596691238,1870,1870
1596693156,1870,1870
1596695099,1868,1868
1596696997,1864,1864
1596698897,1882,1882
1596700973,1876,1876
1596703009,1855,1855
1596704919,1854,1854
1596706845,1851,1851
1596708771,1849,1849
1596710715,1851,1851
1596712776,1844,1844
1596714771,1856,1856
1596716729,1849,1849
1596718589,1815,1815
1596720528,1799,1799
1596722525,1790,1790
1596724342,1785,1785
1596726232,1768,1768
1596728202,1764,1764
1596730129,1748,1748
1596732032,1736,1736
1596733959,1737,1737
1596735886,1750,1750
1596737777,1755,1755
1596739696,1739,1739
1596741643,1738,1738
1596743536,1717,1717
1596745457,1695,1695
1596747458,1698,1698
1596749291,1683,1683
1596751365,1659,1659
1596753373,1638,1638
1596755320,1625,1625
1596757229,1634,1634
1596759134,1594,1594
1596761083,1557,1557
1596763003,1531,1531
1596764893,1525,1525
1596766843,1526,1526
1596768739,1538,1538
1596770656,1523,1523
1596772607,1510,1510
1596774496,1497,1497
1596776550,1483,1483
1596778600,1482,1482
1596780495,1462,1462
1596782429,1443,1443
1596784362,1417,1417
1596786255,1388,1388
1596788183,1394,1394
1596790120,1386,1386
1596792009,1390,1390
1596793932,1371,1371
1596795882,1369,1369
1596797779,1348,1348
1596799690,1350,1350
1596801779,1326,1326
1596803779,1319,1319
1596805735,1302,1302
1596807609,1291,1291
1596809533,1302,1302
1596811496,1312,1312
1596813374,1325,1325
1596815293,1320,1320
1596817248,1317,1317
1596819134,1327,1327
1596821053,1313,1313
1596823001,1297,1297
