DateTime,Entries,UniqueIPs
1596421005,6116,6116
1596422904,6141,6141
1596424852,6154,6154
1596426744,6115,6115
1596428664,6128,6128
1596430612,6138,6138
1596432503,6182,6182
1596434680,6168,6168
1596436592,6169,6169
1596438526,6179,6179
1596440419,6172,6172
1596442338,6208,6208
1596444290,6264,6264
1596446188,6293,6293
1596448394,6284,6284
1596450258,6276,6276
1596452235,6302,6302
1596454121,6349,6349
1596456203,6335,6335
1596458172,6334,6334
1596460123,6322,6322
1596462012,6381,6381
1596463933,6449,6449
1596465887,6521,6521
1596467772,6572,6572
1596469692,6629,6629
1596471666,6678,6678
1596473531,6709,6709
1596475455,6740,6740
1596477400,6673,6673
1596479294,6638,6638
1596481263,6668,6668
1596483166,6737,6737
1596486042,6725,6725
1596487931,6688,6688
1596489853,6638,6638
1596491805,6639,6639
1596493690,6657,6657
1596495785,6694,6694
1596497772,6653,6653
1596499724,6621,6621
1596501620,6657,6657
1596503533,6637,6637
1596505549,6653,6653
1596507381,6611,6611
1596509257,6583,6583
1596511260,6606,6606
1596513153,6644,6644
1596515331,6658,6658
1596517472,6657,6657
1596519408,6668,6668
1596521375,6669,6669
1596523221,6653,6653
1596525149,6634,6634
1596527116,6612,6612
1596528981,6600,6600
1596530919,6582,6582
1596532886,6559,6559
1596534739,6551,6551
1596536661,6546,6546
1596538607,6545,6545
1596540525,6615,6615
1596542907,8409,8409
1596545002,10200,10200
1596547096,10577,10577
1596548932,10580,10580
1596550860,10570,10570
1596552775,10555,10555
1596554680,10553,10553
1596556613,10559,10559
1596558525,10559,10559
1596561641,10534,10534
1596563534,10537,10537
1596565455,10561,10561
1596567411,10582,10582
1596569310,10574,10574
1596572421,10571,10571
1596574356,10558,10558
1596576252,10560,10560
1596578202,10559,10559
1596580089,10567,10567
1596582973,10550,10550
1596584893,10550,10550
1596586855,10546,10546
1596588733,10532,10532
1596590652,10510,10510
1596592604,10493,10493
1596594501,10490,10490
1596597380,10469,10469
1596599295,10454,10454
1596601246,10463,10463
1596603131,10481,10481
1596605067,10467,10467
1596607005,10444,10444
1596608890,10461,10461
1596610966,10469,10469
1596613076,10459,10459
1596614904,10459,10459
1596616826,10458,10458
1596618780,10453,10453
