DateTime,AddedIPs,RemovedIPs
1596410465,6,1
1596412376,0,1
1596414265,4,4
1596416213,3,2
1596418103,2,3
1596421005,6,6
1596422904,2,7
1596424853,2,2
1596426744,5,0
1596428665,2,6
1596430612,7,4
1596432503,4,2
1596434686,1,2
1596436592,4,2
1596438527,6,3
1596440419,2,2
1596442344,3,2
1596444316,1,2
1596446189,0,2
1596448395,1,1
1596450258,2,2
1596452236,4,5
1596454121,7,0
1596456206,2,3
1596458173,2,1
1596460123,1,3
1596462012,1,3
1596463934,1,4
1596465888,1,2
1596467772,2,2
1596469693,0,1
1596471667,4,2
1596473531,2,2
1596475455,3,4
1596477401,1,4
1596479294,2,4
1596482174,2,2
1596484092,2,6
1596486043,4,0
1596487931,3,4
1596489853,5,2
1596491805,2,1
1596493692,1,1
1596495794,1,7
1596497772,3,2
1596499725,3,3
1596501621,4,1
1596503533,2,5
1596505552,9,2
1596507382,2,4
1596509257,1,2
1596511261,4,2
1596513153,3,5
1596515331,3,2
1596517474,3,9
1596519409,0,3
1596521376,3,1
1596523222,0,4
1596525149,3,5
1596527116,2,3
1596528981,3,2
1596530919,2,1
1596532886,2,0
1596534740,2,1
1596536661,4,2
1596538608,1,4
1596540533,1,7
1596542908,4,3
1596545003,1,2
1596547096,4,1
1596550861,1,2
1596552775,0,1
1596554681,1,1
1596556613,2,1
1596558526,2,4
1596560592,4,3
1596562399,0,1
1596564299,5,1
1596566188,2,2
1596568175,2,2
1596570025,1,1
1596572044,2,4
1596573931,1,3
1596575791,0,5
1596577750,3,2
1596579655,3,2
1596581540,1,1
1596583468,1,2
1596585415,1,2
1596587311,5,4
1596589420,1,4
1596591388,1,7
1596593329,0,2
1596595223,1,3
1596597135,0,3
1596599087,1,3
1596601027,1,3
1596602899,3,3
1596604867,1,1
1596606736,3,1
1596608662,4,2
1596610967,3,2
1596613076,2,3
1596614904,1,2
1596616826,0,3
1596618780,2,2
1596620671,1,1
1596622657,3,5
1596624528,1,1
1596626498,5,1
1596628371,1,2
1596630261,1,2
1596632296,0,2
1596634130,1,3
1596637011,1,1
1596640822,2,1
1596642775,1,2
1596644681,3,2
1596646593,2,1
1596648566,1,3
1596650795,2,5
1596652618,2,2
1596654569,2,2
1596656427,3,1
1596658371,0,2
1596660273,1,1
1596662183,1,0
1596664132,3,3
1596666021,1,3
1596667964,1,1
1596669928,2,1
1596671821,2,1
1596673698,4,5
1596675934,0,1
1596677826,2,1
1596679702,1,0
1596681624,2,1
1596683568,1,0
1596685466,2,1
1596687381,1,1
1596689333,4,3
1596691239,4,1
1596693157,3,4
1596695099,4,3
1596696998,3,2
1596698897,0,3
1596700974,2,1
1596703010,5,0
1596704920,4,2
1596706851,4,0
1596708772,1,3
1596710718,3,1
1596712777,1,6
1596714772,1,1
1596716730,3,1
1596718619,2,0
1596720533,2,1
1596723644,2,1
1596725561,3,1
1596727453,2,1
1596729401,0,1
1596731293,3,3
1596733324,3,2
1596735161,1,1
1596737045,7,2
1596738988,8,2
1596740946,2,2
1596742819,3,3
1596744736,3,0
1596746681,1,1
1596748573,2,1
1596750499,3,3
1596752444,2,1
1596754336,1,1
1596756277,2,2
1596758227,2,2
1596760096,2,4
1596762090,2,0
1596763960,4,1
1596765870,1,1
1596767774,4,3
1596769734,1,1
1596771634,2,2
1596773573,2,1
1596775474,0,3
1596777375,2,5
1596779349,3,3
1596781213,2,4
1596783135,1,2
1596785081,1,1
1596786971,2,2
1596788918,5,5
1596791772,4,5
1596793720,5,3
1596795617,3,1
1596797533,3,3
1596799486,3,2
1596801385,4,0
1596803340,4,3
1596805425,1,3
1596807370,0,1
1596809323,2,2
1596811239,5,3
1596813134,2,1
1596815084,3,1
1596817000,2,3
1596818894,2,2
1596820840,3,2
1596822728,2,5
1596824653,3,4
1596826599,2,8
1596828491,2,3
1596830559,3,2
1596832362,1,2
1596834259,3,1
1596836200,3,3
1596838123,3,3
1596840018,2,1
1596841977,1,1
1596843865,1,2
1596845797,4,3
1596847727,3,1
1596849614,1,2
1596851534,1,4
1596853484,3,2
1596855419,2,3
1596857298,2,2
1596859314,2,1
1596861130,1,1
1596863056,3,1
1596865000,6,3
1596866895,3,3
1596868838,1,0
1596870760,5,2
1596872657,2,1
1596874572,3,3
1596876524,1,5
1596878408,0,5
1596880358,5,2
1596882280,0,4
1596884183,4,2
1596886135,6,5
1596888156,2,2
1596890203,1,4
1596892113,4,1
1596893956,1,0
1596895969,4,3
1596897855,3,4
1596899805,3,3
1596901732,4,2
1596903618,4,3
1596905536,7,2
1596907484,4,2
1596909377,4,2
1596911324,3,5
1596913416,3,0
1596915401,1,2
1596917304,3,3
1596919237,0,1
1596921194,2,4
1596923056,1,3
1596924982,1,2
1596926932,0,2
1596928816,1,2
1596930749,3,0
1596932684,0,6
1596934588,3,1
1596936500,2,2
1596938614,1,1
1596940603,2,2
1596942496,1,4
1596944420,2,1
1596946362,4,2
1596948255,3,1
1596950178,2,5
1596952124,3,4
1596954034,2,3
1596955932,3,1
1596957897,2,4
1596959773,3,3
1596961951,4,3
1596965806,3,3
1596967703,1,2
1596969619,3,3
1596971571,2,5
1596973457,2,4
