DateTime,AddedIPs,RemovedIPs
1596300505,3,0
1596302442,1,4
1596304334,1,1
1596308202,1,1
1596310337,2,8
1596314207,0,3
1596316097,0,1
1596318014,5,0
1596319999,1,2
1596321993,1,1
1596323900,2,0
1596327849,0,3
1596329768,3,2
1596333776,2,2
1596335777,0,1
1596337759,0,1
1596339614,4,1
1596341558,1,0
1596343485,2,6
1596345373,1,0
1596347324,4,3
1596349265,2,2
1596351131,0,5
1596353087,3,0
1596354982,2,1
1596356896,1,0
1596358951,0,1
1596360766,1,1
1596362733,1,1
1596364610,0,6
1596366499,1,2
1596368416,3,4
1596372288,1,0
1596374179,3,2
1596376100,1,4
1596378050,2,2
1596379937,0,2
1596383809,0,1
1596385704,2,3
1596387796,11,1
1596389776,6,1
1596391727,3,0
1596393613,1,1
1596395803,1,0
1596397773,7,2
1596401556,6,0
1596403457,6,2
1596405489,1,4
1596407295,2,0
1596410468,0,3
1596412377,3,0
1596416213,1,3
1596418104,1,0
1596421006,1,2
1596424854,4,0
1596426745,2,4
1596428665,1,2
1596430613,0,2
1596432504,2,1
1596434687,1,4
1596436593,1,1
1596438527,2,0
1596440420,1,5
1596442345,3,1
1596444331,2,0
1596446189,0,1
1596448396,6,0
1596450259,2,1
1596452237,2,1
1596454122,4,3
1596456210,3,0
1596458174,1,1
1596460124,2,3
1596462013,3,1
1596463934,0,1
1596465889,6,1
1596467773,2,0
1596469693,3,0
1596471668,2,2
1596473532,0,11
1596475456,3,3
1596477401,1,6
1596479295,1,1
1596483168,1,1
1596485154,1,7
1596486977,0,3
1596488924,3,6
1596490811,3,4
1596492979,0,2
1596494912,1,0
1596496883,3,0
1596498750,0,3
1596502631,0,1
1596504504,2,1
1596509258,1,1
1596511262,0,4
1596513154,2,2
1596515332,0,1
1596517480,2,1
1596519410,1,1
1596521377,0,1
1596523223,0,1
1596525150,2,2
1596527118,0,1
1596528982,3,3
1596530920,2,2
1596532887,6,1
1596534740,1,5
1596536662,1,2
1596538608,0,2
1596540534,0,4
1596542909,2,3
1596545004,5,1
1596547097,3,2
1596548933,4,3
1596550862,1,1
1596552776,3,5
1596554682,1,2
1596556614,4,3
1596558526,0,2
1596560593,3,2
1596562400,1,1
1596564300,0,2
1596568176,1,0
1596570025,3,1
1596572045,2,1
1596573932,1,1
1596575792,0,3
1596577751,2,2
1596579656,5,1
1596581541,1,0
1596583469,4,3
1596585416,2,0
1596587314,2,0
1596589424,2,0
1596591416,0,2
1596593330,2,0
1596595225,0,1
1596597136,1,0
1596599088,0,2
1596601028,1,0
1596602899,0,1
1596604868,0,1
1596606737,1,1
1596608662,1,0
1596610968,3,1
1596613077,2,1
1596614905,3,2
1596616827,0,3
1596618782,0,2
1596620673,1,5
1596622657,1,1
1596626500,2,0
1596628372,0,1
1596630262,2,3
1596632297,1,3
1596634131,6,4
1596637012,4,3
1596638916,0,4
1596640822,1,1
1596642776,1,4
1596644682,5,0
1596646593,1,2
1596648568,0,1
1596650796,1,1
1596652619,1,0
1596654570,6,1
1596656428,1,3
1596658372,4,2
1596660274,1,1
1596662183,1,0
1596664132,0,2
1596666022,0,5
1596667965,3,1
1596669928,0,4
1596671822,0,2
1596673698,0,2
1596675937,0,2
1596679703,0,2
1596683569,0,1
1596685466,3,0
1596687382,1,1
1596689334,2,0
1596693158,3,1
1596695100,0,1
1596696998,2,3
1596698898,1,1
1596700975,0,4
1596703010,1,0
1596706852,4,1
1596708772,3,1
1596712777,2,2
1596714774,1,0
1596716732,0,2
1596718621,1,1
1596720534,0,6
1596723645,1,4
1596725562,1,0
1596727454,0,1
1596729402,0,1
1596731294,0,5
1596733354,2,1
1596737050,0,1
1596738989,0,1
1596740951,2,6
1596742820,1,1
1596744736,2,4
1596746682,0,1
1596748574,0,1
1596750500,2,0
1596752444,3,0
1596754337,0,3
1596756278,2,0
1596758227,1,0
1596760097,1,0
1596762138,1,0
1596763960,3,0
1596767775,2,0
1596769735,1,0
1596771634,1,3
1596773573,2,0
1596775474,1,3
1596779350,0,3
1596783137,2,1
1596785082,1,2
1596788918,1,1
1596793720,0,5
1596795617,2,2
1596799509,3,2
1596801386,0,1
1596803341,3,0
1596805429,1,1
1596809324,2,1
1596811239,1,0
1596813135,2,1
1596815085,2,0
1596817001,2,0
1596818895,2,2
