DateTime,AddedIPs,RemovedIPs
1596222773,1,0
1596226570,1,1
1596228531,1,1
1596230411,2,0
1596232343,1,1
1596234290,2,0
1596236184,0,1
1596238162,0,1
1596240203,1,1
1596242208,1,0
1596244113,1,0
1596246018,1,2
1596247990,1,0
1596251792,1,6
1596253755,1,3
1596255623,2,5
1596259504,1,0
1596263387,1,0
1596265459,1,0
1596267372,0,1
1596271484,1,0
1596273384,1,3
1596277221,0,2
1596281087,1,0
1596284897,1,0
1596286967,1,0
1596290926,1,1
1596292822,1,1
1596294739,2,0
1596296693,1,0
1596298580,2,1
1596300505,0,1
1596302443,2,0
1596304335,11,0
1596306255,0,2
1596308203,0,2
1596310338,1,1
1596312261,2,0
1596314208,1,1
1596316097,0,1
1596318014,4,0
1596320001,3,3
1596321993,1,0
1596323901,3,0
1596325962,1,1
1596331721,1,1
1596333778,1,1
1596335777,2,1
1596337760,2,2
1596339615,1,1
1596341558,0,1
1596343485,1,1
1596345373,0,1
1596347324,1,0
1596349266,1,0
1596351132,0,3
1596353087,0,1
1596356897,0,2
1596358965,1,0
1596362734,1,0
1596364611,2,0
1596366499,0,1
1596368416,2,0
1596370342,0,1
1596372289,0,1
1596374180,1,0
1596376101,0,1
1596378051,1,0
1596381868,1,1
1596383809,1,4
1596385705,1,0
1596387800,0,1
1596389776,0,10
1596391727,2,0
1596393614,2,0
1596395803,0,1
1596397773,1,0
1596401556,3,1
1596403457,0,2
1596405489,1,2
1596407296,1,0
1596409340,0,1
1596411159,4,1
1596413056,1,0
1596418814,0,1
1596420734,3,0
1596422683,1,4
1596424570,1,1
1596426506,1,1
1596428439,0,1
1596430331,0,1
1596434199,1,1
1596436089,1,0
1596438156,0,1
1596443797,0,1
1596445727,1,1
1596447614,2,0
1596449556,3,0
1596451497,0,2
1596453372,0,1
1596455289,0,1
1596457241,2,1
1596459130,3,1
1596461086,1,1
1596463003,3,1
1596464899,1,2
1596466925,4,0
1596468772,0,2
1596470656,0,1
1596472569,4,1
1596474524,0,2
1596476409,0,2
1596478332,2,1
1596480283,0,2
1596482174,3,0
1596484092,1,2
1596487932,1,1
1596491805,0,1
1596493692,2,0
1596495804,1,1
1596497773,1,3
1596499725,1,2
1596503533,3,0
1596505553,3,1
1596507382,1,4
1596509259,0,1
1596511262,2,2
1596519410,2,1
1596521377,0,1
1596525150,2,0
1596527118,1,0
1596528982,1,0
1596530920,0,2
1596534741,0,1
1596536662,0,3
1596540534,1,1
1596542910,2,0
1596545004,0,2
1596547097,0,2
1596548933,1,4
1596550863,1,1
1596552776,1,1
1596554682,1,0
1596556614,2,0
1596558527,1,5
1596560593,1,0
1596562400,2,1
1596564300,0,1
1596566189,1,1
1596568177,0,2
1596570026,0,1
1596573933,2,2
1596575792,4,0
1596579656,1,2
1596581541,1,1
1596583469,1,2
1596585416,3,1
1596587316,2,1
1596589426,3,0
1596591418,1,4
1596593330,1,0
1596595225,0,1
1596597136,2,0
1596599088,1,2
1596601028,0,2
1596602900,3,0
1596606737,0,1
1596608663,0,1
1596610968,1,3
1596613077,2,0
1596618783,2,1
1596620673,2,1
1596622658,0,1
1596626500,0,1
1596628372,1,2
1596630262,2,1
1596632297,3,0
1596637012,0,3
1596638916,0,1
1596642776,1,1
1596644683,0,3
1596646594,1,1
1596648568,1,1
1596650796,3,0
1596652620,1,0
1596654570,0,2
1596660275,1,3
1596662184,3,2
1596666022,2,1
1596667965,1,1
1596669929,0,1
1596671822,1,1
1596673699,2,0
1596675938,3,2
1596677828,2,3
1596679703,0,1
1596683569,6,1
1596685467,1,1
1596687382,1,0
1596689334,0,3
1596691241,1,0
1596693158,0,1
1596696999,0,1
1596698898,2,1
1596700975,0,1
1596704921,3,1
1596706852,0,2
1596708773,1,1
1596714774,0,1
1596716732,0,1
1596718621,1,3
1596720534,2,0
1596723645,1,0
1596725562,2,0
1596727455,0,1
1596729402,0,1
1596731294,2,0
1596733363,0,3
1596735369,1,0
1596737338,0,2
1596741133,1,0
1596743083,0,2
1596744976,2,0
1596746895,1,1
1596748840,2,4
1596750731,2,0
1596752655,1,1
1596754604,0,2
1596756492,1,2
1596758444,2,2
1596760360,2,2
1596762255,3,2
1596764169,2,1
1596766128,1,0
1596768015,1,0
1596769931,1,6
1596771890,1,0
1596774024,1,1
1596777890,0,1
1596783805,1,0
1596785800,2,0
1596787708,1,0
1596789618,1,1
1596791573,0,2
1596793455,1,1
1596795414,3,1
1596801132,1,1
1596803059,1,1
1596804977,3,1
1596806937,0,1
1596808967,1,1
1596810773,1,2
1596816530,3,1
1596818423,0,2
1596820340,1,1
1596822289,0,1
1596824214,1,0
1596826101,0,2
1596828072,1,0
1596831861,0,2
1596833807,2,0
1596835695,1,2
1596837751,1,1
1596839567,2,1
1596841518,6,0
1596843403,3,2
1596845317,0,1
1596847215,2,0
1596849172,1,3
1596851054,2,2
1596853010,2,0
1596854927,0,3
1596856836,1,1
