DateTime,AddedIPs,RemovedIPs
1596424855,1,6
1596426745,0,6
1596428666,5,14
1596430635,8,7
1596432504,8,4
1596434687,10,12
1596436594,6,7
1596438528,10,11
1596440421,11,6
1596442346,10,4
1596444343,6,7
1596446190,11,6
1596448397,16,16
1596450260,6,6
1596452237,7,6
1596454123,7,6
1596456211,12,6
1596458175,7,6
1596460125,8,0
1596462014,9,7
1596463935,7,13
1596465890,6,1
1596467773,3,16
1596469694,3,2
1596471668,3,2
1596473533,1,7
1596475456,6,7
1596477402,4,12
1596479296,3,10
1596481313,2,17
1596483169,11,13
1596485155,5,7
1596486977,9,5
1596488924,7,11
1596490812,6,5
1596492980,7,6
1596494912,9,15
1596496883,3,12
1596498751,2,8
1596500671,6,16
1596502631,3,8
1596504505,4,1
1596506578,4,2
1596509260,8,165
1596511263,9,1
1596513155,9,2
1596515332,14,8
1596517485,8,6
1596519411,13,9
1596521378,3,9
1596523225,14,4
1596525151,6,8
1596527119,7,12
1596528983,7,13
1596530920,8,8
1596532888,12,14
1596534741,12,13
1596536663,8,10
1596538609,12,8
1596540535,8,9
1596542910,12,12
1596545005,13,12
1596547098,13,18
1596548934,12,4
1596550864,20,13
1596552777,10,7
1596554683,7,3
1596556615,16,4
1596558527,4,1
1596560594,1,1
1596562401,9,3
1596564301,17,4
1596566190,8,2
1596568177,9,5
1596570026,6,7
1596572046,3,7
1596573934,6,8
1596575793,3,8
1596577752,8,6
1596579656,8,6
1596581542,9,14
1596583470,9,7
1596585417,9,7
1596587316,11,3
1596589427,12,2
1596591419,8,4
1596593331,9,7
1596595225,14,7
1596597137,16,10
1596599089,17,8
1596601029,12,11
1596602900,2,13
1596604869,6,7
1596606738,15,8
1596608663,11,16
1596610969,4,5
1596613077,4,11
1596614906,8,8
1596616829,10,10
1596618784,3,8
1596620674,14,10
1596622658,15,11
1596624530,32,7
1596626501,13,12
1596628373,8,11
1596630263,13,12
1596632298,14,12
1596634131,15,17
1596637013,23,19
1596638917,11,14
1596640823,7,4
1596642777,11,15
1596644683,5,6
1596646594,4,3
1596648569,7,3
1596650797,1,23
1596652620,15,8
1596654570,3,7
1596656429,2,7
1596658373,3,5
1596660276,3,6
1596662184,4,3
1596664133,2,9
1596666023,1,5
1596667989,0,9
1596669930,2,10
1596671823,2,11
1596673699,33,8
1596675938,18,16
1596677829,8,10
1596679704,5,10
1596681625,13,13
1596683570,15,14
1596685467,29,18
1596687383,18,12
1596689335,23,6
1596691242,17,5
1596693159,20,16
1596695101,16,11
1596696999,19,5
1596698899,13,6
1596700977,16,7
1596703011,24,7
1596704921,16,9
1596706853,16,9
1596708773,15,11
1596710726,11,27
1596712779,9,15
1596714775,11,7
1596716733,8,9
1596718622,8,10
1596720535,6,11
1596723646,7,27
1596725563,6,4
1596727456,4,7
1596729403,2,11
1596731294,2,4
1596733380,5,4
1596735370,6,7
1596737339,6,1
1596739213,2,15
1596741134,3,3
1596743084,3,5
1596744977,2,2
1596746896,0,3
1596748841,3,4
1596750733,3,3
1596752656,1,0
1596754605,3,1
1596756493,5,2
1596758447,1,2
1596760361,3,33
1596762259,4,11
1596764170,3,8
1596766128,4,6
1596768016,9,14
1596769932,13,12
1596771891,5,19
1596774025,9,27
1596775937,13,18
1596777891,11,12
1596779825,10,19
1596781721,14,18
1596783806,8,18
1596785801,11,16
1596787708,13,16
1596789619,10,30
1596791574,8,17
1596793456,17,26
1596795414,21,17
1596797325,19,11
1596799217,13,13
1596801133,13,16
1596803059,15,17
1596804978,15,13
1596806939,12,10
1596808969,14,3
1596810774,12,5
1596812669,7,5
1596814583,13,2
1596816531,8,2
1596818424,15,3
1596820340,11,8
1596822290,15,2
1596824214,12,4
1596826102,11,1
1596828099,14,4
1596829941,7,1
1596831861,14,2
1596833807,8,0
1596835697,10,3
1596838841,4,1
1596840729,2,3
1596842685,7,4
1596845018,4,4
1596847002,3,1
1596848893,2,3
1596850812,4,6
1596852765,5,1
1596854657,4,9
1596856594,4,12
1596858524,9,9
1596860417,10,4
1596862340,7,12
1596864289,10,13
1596866174,9,4
1596868093,5,12
1596870201,5,8
1596872205,8,5
1596874090,4,10
1596876016,8,7
1596877985,6,10
1596879879,6,17
1596882059,4,20
1596883939,4,15
1596885887,7,14
1596887780,9,13
1596889698,7,10
1596891774,12,12
1596893958,16,16
1596895970,3,10
1596897857,8,13
1596899807,9,14
1596901735,7,13
1596903620,13,15
1596905538,10,15
1596907485,9,15
1596909378,10,8
1596911326,6,12
1596913419,3,12
1596915402,8,10
1596917313,8,9
1596919238,12,11
1596921196,14,12
1596923058,9,8
1596924983,13,3
1596926950,8,4
1596928818,9,5
1596930768,4,4
1596932685,10,4
1596934592,8,4
1596936501,11,7
1596938618,8,5
1596940605,6,5
1596942498,7,6
1596944421,15,13
1596946364,6,10
1596948257,12,12
1596950179,12,7
1596952125,15,11
1596954035,16,7
1596955933,6,9
1596957899,10,5
1596959774,7,4
1596961952,9,10
1596963927,8,5
1596965808,6,4
1596967705,9,5
1596969620,4,6
1596971573,8,6
1596973460,3,6
1596975388,7,6
1596977331,10,8
1596979221,5,15
1596981038,4,8
1596982846,3,5
1596984735,3,8
1596986699,2,8
1596988574,4,6
1596990497,4,14
1596992566,2,8
1596994602,1,9
1596996495,6,6
1596998418,13,11
1597000364,6,6
1597002255,7,7
1597004174,7,8
1597006129,13,10
1597008012,6,12
1597009935,7,8
1597011884,11,17
1597013780,8,3
1597015692,8,9
1597017778,9,6
1597019798,9,11
1597021702,6,11
1597023648,12,8
1597025569,6,5
1597027458,10,9
1597029378,7,6
1597031337,10,16
1597033218,12,4
1597035135,10,12
1597037161,18,16
1597039005,9,17
1597040894,11,13
1597042976,12,8
1597044998,15,11
1597046892,23,4
1597048816,11,15
1597050762,12,8
1597052652,4,2
1597054573,9,9
1597056521,13,3
1597058408,10,6
1597060327,8,5
1597062280,14,9
1597064171,9,8
1597066108,9,6
1597068217,9,4
1597070213,15,3
1597072096,6,1
1597074019,4,1
1597075961,4,5
1597077881,7,4
1597079784,4,1
1597081697,11,1
1597083638,6,5
1597085583,16,9
1597087455,3,7
1597089403,8,10
1597091295,7,8
1597093332,2,9
1597095156,6,8
1597097085,5,9
1597098988,8,10
1597100922,2,12
1597102816,3,9
1597104754,9,7
1597106681,4,7
1597108588,3,11
1597110489,1,8
1597112435,7,10
1597114352,3,9
1597116252,4,7
1597118199,5,9
1597120089,2,11
1597122971,19,25
1597124890,13,12
1597126837,13,10
1597128744,18,10
1597130656,15,12
1597132601,16,22
1597134491,10,14
1597136554,14,11
1597138360,11,6
1597140284,19,10
1597142188,16,16
1597144129,16,8
1597146018,9,9
1597147946,10,8
1597149890,17,15
1597151773,13,11
1597153696,12,13
1597155516,9,12
1597157372,7,1
1597159224,2,5
1597161135,2,4
1597163099,8,4
1597165008,2,7
1597166965,1,7
1597169006,2,11
1597171015,1,9
1597172897,1,12
1597174831,4,4
1597176791,2,8
1597178688,6,1
1597180585,4,6
1597182545,3,2
1597184418,4,5
1597186333,2,3
1597188289,3,2
1597190188,11,5
1597192093,3,3
1597194158,7,4
1597195959,10,2
1597197805,24,5
1597199809,7,4
1597201705,8,4
1597203620,22,5
1597205574,15,2
1597207458,13,6
1597209386,14,10
1597211335,15,10
1597213262,11,10
1597215152,4,17
1597217087,8,14
1597218991,8,11
1597220901,8,11
1597222961,5,10
1597225005,13,9
1597226903,8,11
1597228822,5,9
1597230786,7,19
1597232810,10,7
1597234712,5,9
1597236736,6,10
1597238656,9,14
1597240613,9,13
1597242490,10,11
1597244541,11,7
1597246360,10,3
1597248205,11,0
1597250198,17,9
1597252103,7,1
1597254017,9,8
