DateTime,AddedIPs,RemovedIPs
1596542128,26,7
1596543487,22,16
1596544471,23,34
1596545613,14,7
1596546931,28,15
1596548071,20,8
1596549749,13,7
1596551676,28,8
1596553064,14,4
1596554764,7,10
1596555275,5,13
1596557220,12,21
1596558869,29,9
1596561239,17,14
1596562470,8,9
1596563698,20,12
1596565528,13,23
1596567032,7,31
1596568258,17,22
1596569669,20,8
1596571455,19,21
1596572731,12,3
1596574233,23,27
1596576328,319,16
1596579930,45,80
1596580475,1,18
1596584073,88,57
1596585361,2,4
1596586636,82,15
1596587673,11,16
1596589341,68,17
1596591269,4,32
1596593702,52,14
1596594878,9,18
1596596343,39,11
1596597570,11,9
1596599433,12,20
1596600769,32,12
1596602070,3,15
1596603275,8,3
1596605132,6,12
1596605677,0,21
1596608267,29,21
1596609533,16,16
1596611248,16,36
1596612869,7,24
1596614016,33,8
1596615214,19,12
1596616399,13,19
1596617855,16,14
1596619535,26,33
1596620069,10,37
1596621985,25,211
1596623131,5,0
1596624519,10,273
1596625730,144,178
1596627275,5,88
1596629447,39,38
1596630870,7,19
1596634473,79,45
1596638077,60,51
1596640200,26,38
1596641907,17,11
1596643078,8,6
1596645275,64,29
1596646977,59,24
1596648870,18,21
1596650458,30,28
1596651938,18,3
1596653429,36,21
1596655066,18,22
1596656355,4,20
1596659136,45,28
1596660634,43,21
1596662286,12,34
1596663270,1,14
1596664546,56,5
1596666016,7,16
1596667315,5,30
1596669936,42,23
1596671260,14,22
1596674074,29,59
1596677136,41,25
1596678635,52,2
1596681315,17,31
1596684877,66,53
1596686576,53,45
1596687944,24,1
1596689418,11,19
1596690565,4,7
1596692077,15,16
1596695678,48,32
1596696918,7,7
1596698735,12,20
1596700232,36,39
1596701487,11,5
1596702873,26,26
1596705151,22,24
1596706469,30,8
1596708592,21,33
1596710268,16,8
1596713133,47,39
1596714278,16,29
1596715436,29,37
1596717273,18,43
1596720875,37,45
1596724473,30,35
1596725569,5,4
1596726945,10,5
1596728070,6,28
1596730724,24,13
1596731670,7,15
1596733836,15,29
1596735270,9,8
1596737043,5,11
1596738871,11,36
1596742470,489,30
1596745058,53,309
1596746074,7,8
1596748534,41,27
1596750160,22,12
1596751584,43,71
1596752734,2,2
1596753877,11,8
1596755420,29,69
1596756872,16,14
1596759934,79,62
1596761431,53,6
1596764075,19,57
1596765316,31,7
1596767009,14,34
1596767673,13,19
1596769716,51,31
1596771811,25,11
1596773619,42,12
1596774873,10,6
1596777772,45,29
1596778479,13,9
1596781371,68,19
1596782075,5,11
1596783468,18,12
1596785133,34,31
1596785677,9,19
1596787372,33,29
1596789279,18,21
1596790492,37,9
1596792300,29,24
1596792874,1,19
1596794067,58,2
1596796470,14,136
1596799002,34,40
1596800074,31,9
1596803672,54,80
1596804865,26,10
1596806732,44,40
1596807271,16,13
1596809699,33,13
1596810870,8,25
1596813079,53,41
1596815127,25,41
1596818071,35,70
1596821132,29,30
1596822364,13,19
1596825271,43,44
1596827760,50,35
1596828872,6,20
1596831296,37,60
1596832474,4,6
1596834181,21,50
1596836071,19,5
1596839675,32,50
1596842176,7,39
1596843785,7,10
1596845109,21,36
1596846338,11,5
1596847460,5,10
1596850475,31,63
1596851963,6,43
1596853532,3,4
1596854076,14,15
1596856534,23,64
1596858508,40,22
1596861276,51,22
1596863631,48,29
1596865756,22,25
1596866988,13,9
1596868472,18,13
1596870404,19,43
1596871527,12,1
1596872984,8,28
1596874754,21,12
1596875672,8,16
1596879268,36,40
1596882870,36,62
1596884690,15,37
1596886470,51,10
1596888300,30,28
1596890071,8,8
1596892261,36,23
1596893673,23,7
1596895158,20,11
1596896420,14,1
1596897687,15,15
1596899556,34,11
1596900868,17,16
1596903456,38,14
1596905339,21,8
1596906947,23,7
1596908367,22,9
1596911131,33,430
1596912630,32,24
1596915272,22,53
1596918123,40,46
1596918878,13,14
1596922474,54,51
1596926074,23,56
1596928244,12,44
1596929671,12,36
1596933271,25,49
1596935197,15,27
1596936341,3,2
1596937832,8,27
1596940472,12,57
1596944094,22,70
1596947674,26,40
1596949465,7,68
1596950736,9,1
1596952235,41,18
1596953555,515,34
1596954886,17,35
1596956506,206,38
1596957927,3,6
1596959435,67,19
1596961010,16,37
1596962068,12,28
1596963562,70,51
1596965131,1,3
1596965671,15,5
1596966803,58,5
1596968728,15,19
1596970234,73,43
1596972871,16,52
1596974034,70,14
1596975806,38,37
1596976472,6,40
1596978983,83,48
1596980074,3,9
1596981271,53,6
1596983135,12,48
1596983674,3,33
1596987270,17,40
1596988530,84,4
1596990873,6,31
1596992118,63,16
1596993928,25,23
1596995776,71,36
1596997529,3,36
1596998069,4,31
1596999823,69,29
1597001670,15,26
1597003005,55,8
1597004737,11,19
1597005277,8,20
1597008871,86,41
1597010246,129,4
1597011417,6,14
1597012473,9,17
1597016070,100,34
1597017480,16,0
1597019135,82,16
1597019670,1,17
1597022336,102,14
1597023274,12,21
1597024754,78,12
1597026333,7,9
1597027837,33,36
1597030479,45,47
1597032003,64,20
1597033536,18,8
1597034072,3,10
1597035384,2,5
1597037140,10,16
1597037688,4,13
1597039344,103,19
1597041270,8,13
1597042375,6,5
1597043826,49,10
1597045838,8,20
1597047936,72,6
