DateTime,AddedIPs,RemovedIPs
1596466520,1,1
1596467809,0,3
1596470316,1,2
1596471924,2,0
1596472463,0,4
1596474614,2,2
1596476063,5,1
1596477162,1,0
1596478381,1,3
1596479669,31,2
1596482231,132,0
1596483261,5,1
1596484939,3,1
1596487540,2,4
1596490468,1,3
1596493018,3,0
1596494066,1,1
1596495363,2,0
1596496617,0,4
1596497666,0,3
1596501267,3,7
1596504225,11,0
1596504866,2,2
1596511530,7,4
1596512912,0,1
1596514726,5,0
1596515668,0,1
1596517541,2,2
1596520323,3,0
1596522871,3,2
1596524090,1,0
1596526470,3,4
1596530066,1,0
1596531730,0,3
1596533667,3,1
1596535011,1,0
1596536259,1,0
1596537270,1,3
1596538659,2,0
1596540202,2,2
1596540863,0,3
1596543481,1,2
1596544466,0,2
1596545609,2,2
1596546922,1,0
1596548066,1,1
1596549734,3,0
1596551669,5,0
1596553058,0,1
1596555270,1,1
1596558863,0,2
1596561230,2,1
1596562465,6,2
1596563692,2,0
1596565522,0,2
1596567026,2,0
1596569663,1,1
1596571442,2,1
1596572725,1,0
1596574226,0,1
1596576322,2,3
1596579925,1,6
1596580470,1,1
1596584067,3,2
1596585355,1,1
1596586631,2,2
1596587668,1,1
1596589325,2,1
1596591264,4,0
1596593688,2,0
1596594872,1,2
1596596337,0,2
1596597565,2,1
1596599426,0,1
1596600761,2,2
1596602065,1,0
1596605127,1,1
1596605671,0,1
1596609525,1,2
1596611243,0,3
1596612864,1,1
1596614009,0,2
1596616388,0,2
1596617849,1,2
1596621974,4,3
1596624510,1,2
1596625721,1,4
1596627269,2,1
1596629440,2,1
1596630864,2,0
1596634467,3,1
1596638069,5,4
1596640193,0,2
1596641903,0,2
1596643072,1,0
1596645270,1,5
1596648865,1,3
1596650447,3,66
1596651933,1,0
1596653423,0,103
1596655056,2,2
1596656342,0,1
1596659128,27,1
1596660628,132,0
1596662280,2,2
1596663265,0,1
1596666004,1,2
1596667303,1,1
1596669929,2,2
1596671249,1,5
1596674068,2,7
1596677131,6,5
1596678628,2,0
1596681307,1,8
1596684870,5,3
1596686568,2,0
1596687936,2,0
1596689405,1,5
1596690559,1,3
1596692070,3,3
1596695671,4,4
1596696913,1,0
1596698730,2,1
1596700227,2,0
1596701482,6,0
1596702866,10,2
1596705145,5,1
1596706464,6,1
1596708579,3,1
1596710262,1,3
1596713128,1,3
1596714272,2,1
1596715427,1,3
1596720868,4,6
1596724466,3,2
1596725562,3,0
1596726936,2,0
1596728064,0,1
1596730719,2,1
1596731664,1,3
1596733831,4,1
1596735265,1,3
1596737038,3,1
1596738865,2,1
1596742464,3,4
1596745047,1,1
1596746066,3,0
1596748523,1,1
1596750155,0,1
1596752727,1,0
1596753865,0,2
1596755410,0,3
1596759927,8,3
1596761424,4,0
1596764068,3,0
1596765303,0,2
1596767004,2,0
1596767666,1,1
1596769703,1,0
1596771804,1,1
1596773613,3,3
1596774867,3,0
1596777765,1,0
1596778471,1,0
1596781364,3,1
1596782068,0,1
1596783462,2,0
1596785125,0,2
1596785672,0,1
1596787355,2,1
1596789271,5,0
1596790484,1,1
1596792293,4,0
1596792869,0,1
1596794062,2,0
1596796463,1,5
1596798993,6,2
1596800069,2,0
1596803665,6,1
1596804858,1,1
1596806727,1,1
1596807265,0,3
1596809694,2,0
1596810865,1,0
1596813069,0,2
1596815113,5,0
1596818065,2,2
1596821125,3,2
1596822357,1,0
1596825265,3,2
1596827751,5,3
1596828866,0,54
1596831288,2,103
1596832467,0,2
1596834174,6,1
1596836065,6,0
1596839669,3,1
1596842166,2,2
1596843778,2,1
1596845098,1,1
1596846331,2,0
1596847445,2,2
1596850470,6,4
1596851957,1,0
1596854068,0,2
1596856521,2,0
1596858497,4,1
1596861271,6,2
1596863625,6,0
1596865750,2,4
1596866983,2,1
1596868467,3,2
1596870396,3,2
1596872978,0,21
1596874747,1,0
1596875667,2,2
1596879263,6,2
1596882864,1,2
1596884685,3,2
1596886465,6,1
1596888294,4,2
1596890066,2,0
1596892255,1,2
1596893666,1,2
1596895153,0,1
1596896413,2,0
1596897675,2,4
1596899551,4,0
1596900863,1,2
1596903451,2,2
1596905335,1,1
1596906938,0,1
1596908361,2,1
1596911126,1,1
1596912623,3,1
1596915267,2,2
1596918107,8,0
1596918871,0,1
1596922468,3,2
1596926067,5,2
1596928238,6,0
1596929666,0,5
1596933264,4,5
1596935190,11,3
1596936333,2,0
1596937826,2,1
1596940466,1,0
1596944083,2,3
1596947667,2,3
1596949459,2,3
1596950730,1,0
1596952228,1,1
1596953549,0,9
1596954873,1,0
1596956496,1,2
1596957921,2,0
1596959428,3,5
1596961000,13,1
1596962063,14,2
1596963553,5,2
1596965125,10,0
1596966798,1,1
1596968723,9,1
1596970228,1,12
1596972865,2,1
1596974029,1,0
1596975801,2,1
1596978965,5,1
1596980068,3,2
1596981266,2,1
1596983130,1,2
1596983669,1,3
1596987265,4,1
1596988525,0,1
1596990867,1,3
1596992113,1,1
1596995765,4,4
1596998062,0,1
1596999817,1,2
1597002999,0,2
1597004729,0,3
1597005271,1,4
1597008865,5,4
1597011406,3,2
1597012466,0,3
1597016064,3,8
1597017474,3,1
1597019129,8,3
1597019665,0,1
1597022328,7,4
1597023268,2,0
1597024743,0,2
1597026326,2,0
1597027828,1,3
1597030473,5,0
1597031995,5,2
1597033528,2,1
1597034067,0,8
1597035372,0,1
1597037134,2,2
1597037678,3,1
1597039326,1,2
1597041265,3,4
1597042370,1,2
1597043817,3,1
1597045831,1,2
1597047930,3,2
1597049132,2,1
1597051411,2,3
1597052064,0,1
1597053845,1,2
1597055664,1,4
1597056811,1,3
1597057910,1,1
1597059524,3,4
1597061129,1,4
1597063829,2,4
1597065040,1,1
1597066657,0,2
1597068362,3,2
1597070064,2,2
1597072895,3,8
1597074029,1,3
1597075567,8,1
1597076724,15,0
1597078125,9,2
1597080866,3,0
1597082342,3,2
1597084466,1,2
1597086869,0,1
1597088066,3,1
1597091878,1,3
1597094721,2,2
1597095267,0,2
1597097318,1,4
1597099001,0,2
1597101180,1,3
1597102465,2,2
1597104553,8,7
1597106069,2,4
1597108642,5,2
1597110633,4,3
1597111801,1,38
1597114235,7,7
1597116866,6,2
1597118739,1,3
1597120467,2,1
1597121754,2,1
1597123217,0,1
1597125031,2,0
1597127669,2,3
1597128801,0,1
1597131269,2,1
1597132922,0,2
1597134868,0,2
1597136770,0,3
1597138470,2,1
1597140757,1,2
1597142066,0,3
1597144014,1,1
1597145128,5,0
1597146340,2,1
1597147952,2,2
1597149266,0,3
1597150787,0,3
1597152326,1,0
1597153829,1,3
1597156468,1,0
1597159530,3,1
1597160775,1,1
1597162441,1,0
1597163664,0,5
1597164863,1,2
1597168225,0,2
1597169688,1,0
1597170864,2,0
1597172065,1,1
1597173326,0,2
1597174468,1,2
1597176394,0,3
1597181668,2,3
1597182995,2,0
1597184144,0,2
1597185270,1,4
1597186670,1,0
1597188329,2,0
1597188867,0,5
1597191325,2,6
1597192472,2,5
1597194233,6,2
1597196064,1,2
1597197978,1,3
1597199668,2,0
1597201126,5,3
1597202732,4,1
1597203270,0,1
1597205837,4,2
1597210473,4,4
1597212471,4,2
1597214065,1,4
1597215747,1,0
1597217127,1,0
1597218842,2,2
1597219955,2,0
1597221267,2,2
1597222424,1,0
1597223541,2,0
1597224868,0,1
1597226901,0,1
1597228463,0,3
1597229746,0,2
1597230989,1,2
1597233028,4,0
1597234716,2,4
1597236624,2,5
1597238043,1,2
1597239272,2,3
1597241971,1,2
1597242863,1,1
1597244213,2,0
1597245927,0,4
1597246469,0,21
1597248204,1,4
1597249327,4,0
1597252170,1,2
1597253663,2,1
1597255352,1,0
1597257265,3,3
1597259762,6,2
1597260864,1,0
1597263642,1,2
1597264465,0,3
1597270221,1,1
1597274680,2,5
1597275263,0,3
1597278085,7,2
1597278867,2,3
1597280688,2,4
1597283333,0,5
1597285317,2,2
1597286069,0,2
1597289669,4,5
1597291260,1,2
1597292574,2,0
1597295963,4,3
1597296869,1,3
1597298355,3,0
1597299813,4,0
1597300465,0,2
1597304069,0,1
1597307088,0,1
1597308629,4,2
1597310287,2,0
1597311897,3,1
1597313051,1,1
1597314869,1,6
1597316801,0,2
1597317927,1,0
1597320450,3,4
1597321582,2,0
1597323030,2,1
1597324228,0,1
1597325689,4,0
1597327654,0,1
1597329265,0,1
1597332861,2,2
1597335911,1,1
1597337427,1,0
1597339529,4,0
1597340769,2,0
1597342847,0,2
1597344625,1,2
1597346728,3,0
1597349600,4,1
1597351823,1,1
1597353090,1,0
1597355062,1,1
1597358064,1,0
1597361666,5,6
1597364052,5,7
1597365268,5,2
1597368865,5,3
1597370073,3,0
1597371934,2,4
1597373433,1,5
1597375529,2,1
1597379055,7,5
1597379676,1,1
1597381425,3,3
1597383271,2,3
1597386329,1,0
1597387827,1,2
1597388935,0,2
1597390462,2,2
1597391766,1,1
1597393175,1,1
1597394072,0,1
1597395255,1,0
1597399195,2,0
1597400727,2,0
