DateTime,AddedIPs,RemovedIPs
1596538657,6,6
1596540200,6,6
1596540862,6,15
1596542119,13,9
1596543479,14,11
1596544465,4,9
1596545607,17,5
1596546920,7,6
1596548065,11,10
1596549729,16,13
1596551667,23,14
1596553056,8,2
1596554751,19,13
1596555268,7,12
1596557213,19,14
1596558862,16,14
1596561228,14,18
1596562463,11,11
1596563690,10,5
1596565521,11,13
1596567025,12,20
1596568251,16,10
1596569662,11,19
1596571439,25,19
1596572724,15,1
1596574224,21,14
1596576321,20,35
1596579924,29,25
1596580469,2,10
1596584065,32,42
1596585353,10,10
1596586627,14,11
1596587666,9,27
1596589321,17,10
1596591262,20,11
1596593685,22,17
1596594868,6,7
1596596335,10,20
1596597564,13,4
1596599425,13,16
1596600759,18,10
1596602063,12,18
1596603268,4,2
1596605125,16,6
1596605670,5,5
1596608259,20,10
1596609523,8,14
1596611242,9,10
1596612863,13,11
1596614008,9,6
1596615199,10,6
1596616385,10,13
1596617848,11,4
1596619527,15,8
1596620062,3,7
1596621970,16,16
1596623125,4,3
1596624508,11,21
1596625717,22,19
1596627268,13,16
1596629438,26,9
1596630863,9,8
1596634466,30,30
1596638068,23,23
1596640192,9,22
1596641902,13,7
1596643070,11,10
1596645269,27,12
1596646952,14,17
1596648864,17,12
1596650445,17,76
1596651932,18,2
1596653422,16,40
1596655055,16,11
1596656340,10,14
1596659127,62,12
1596660626,54,36
1596662278,15,7
1596663264,5,11
1596664538,13,7
1596666002,16,12
1596667301,18,8
1596669928,22,15
1596671247,7,15
1596674067,23,14
1596677129,21,15
1596678626,4,7
1596681303,20,30
1596684868,19,24
1596686567,13,16
1596690558,24,13
1596692069,14,18
1596695670,26,19
1596696911,9,7
1596698728,5,15
1596700225,11,21
1596701481,13,9
1596702864,9,6
1596705144,16,18
1596706463,7,11
1596708577,13,10
1596710261,15,14
1596713126,15,14
1596714271,6,13
1596715424,14,22
1596717266,17,9
1596720867,25,31
1596724465,29,26
1596725560,10,8
1596726933,7,9
1596728063,14,13
1596730718,33,14
1596731662,9,7
1596733830,25,12
1596735264,8,11
1596737037,11,13
1596738864,10,17
1596742463,20,79
1596745046,24,19
1596746064,9,14
1596748517,19,15
1596750153,16,7
1596751568,12,13
1596752725,5,1
1596753863,8,20
1596755407,8,8
1596756865,10,17
1596759925,29,17
1596761422,14,31
1596764066,17,16
1596765301,7,10
1596767002,11,5
1596767665,6,13
1596769663,10,13
1596771803,20,14
1596773612,19,14
1596774866,16,12
1596777764,22,13
1596778469,11,11
1596781362,18,17
1596782067,4,10
1596783461,12,10
1596785124,11,9
1596785670,3,12
1596787353,14,20
1596789270,9,12
1596790482,6,15
1596792291,18,14
1596792868,4,13
1596794061,8,11
1596796462,27,34
1596798992,23,17
1596800067,10,10
1596803664,38,33
1596804857,10,6
1596806725,14,4
1596807263,4,12
1596809693,22,17
1596810864,13,9
1596813065,15,17
1596815111,27,15
1596818063,30,32
1596821124,31,12
1596822355,11,12
1596825264,19,28
1596827748,33,22
1596828864,8,56
1596831286,31,49
1596832466,17,10
1596834166,20,19
1596836064,16,18
1596839668,28,36
1596842164,17,22
1596843777,8,12
1596845097,11,22
1596846329,16,3
1596847443,5,11
1596850468,22,23
1596851954,11,17
1596853525,16,7
1596854066,10,8
1596856515,29,21
1596858491,12,22
1596861270,24,17
1596863623,22,14
1596865745,18,9
1596866980,7,9
1596868466,10,9
1596870393,12,19
1596871521,12,7
1596872977,12,20
1596874744,13,9
1596875665,12,5
1596879262,21,23
1596882863,16,24
1596884684,11,16
1596886464,14,15
1596888292,22,21
1596890065,20,10
1596892254,15,19
1596893664,19,10
1596895149,8,5
1596896411,7,2
1596897674,10,13
1596899550,15,14
1596900860,5,22
1596903450,19,23
1596905333,20,13
1596906936,18,10
1596908360,8,8
1596911124,11,12
1596912622,9,16
1596915265,17,20
1596918104,71,23
1596918870,36,29
1596922466,28,23
1596926065,28,20
1596928237,21,15
1596929665,19,17
1596933263,34,21
1596935185,29,10
1596936332,8,2
1596937825,9,17
1596940464,19,25
1596944081,39,33
1596947665,34,38
1596949457,24,10
1596950728,15,2
1596952227,14,32
1596953547,15,41
1596954870,10,15
1596956494,16,24
1596957920,15,2
1596959426,13,12
1596960999,23,10
1596962062,17,6
1596963549,14,16
1596965124,14,6
1596965663,10,11
1596966797,10,15
1596968722,22,10
1596970226,18,34
1596972864,31,33
