DateTime,AddedIPs,RemovedIPs
1596542111,20,18
1596543475,17,18
1596544459,14,18
1596545603,24,7
1596546908,11,16
1596548058,14,30
1596549718,26,25
1596551660,42,30
1596553050,20,8
1596554747,28,16
1596555262,10,22
1596557203,51,27
1596558858,34,28
1596561219,33,28
1596562457,18,27
1596563681,15,7
1596565515,18,21
1596567020,23,35
1596568242,18,14
1596569657,15,29
1596571432,32,34
1596572719,18,1
1596574218,28,23
1596576317,35,47
1596579919,49,37
1596580461,7,27
1596584060,53,58
1596585348,18,9
1596586618,17,19
1596587659,10,31
1596589313,26,17
1596591256,30,21
1596593676,40,27
1596594861,14,21
1596596328,19,25
1596597559,23,4
1596599419,26,32
1596600754,32,15
1596602058,16,21
1596603264,13,5
1596605121,28,12
1596605662,8,23
1596608253,38,24
1596609517,19,22
1596611237,12,19
1596612859,21,20
1596614003,15,10
1596615188,20,20
1596616380,21,25
1596617844,24,8
1596619522,31,20
1596620056,4,18
1596621952,29,28
1596623119,15,1
1596624500,26,42
1596625711,39,22
1596627261,30,20
1596629434,44,35
1596630858,22,19
1596634458,51,49
1596638062,51,53
1596640187,23,37
1596641895,29,21
1596643064,90,9
1596645262,35,43
1596646945,25,30
1596648857,29,14
1596650400,32,115
1596651920,23,18
1596653417,29,131
1596655051,25,23
1596656335,18,19
1596659121,108,22
1596660617,186,34
1596662274,15,20
1596663258,10,26
1596664534,25,8
1596665994,17,18
1596667291,19,18
1596669921,36,22
1596671238,16,35
1596674061,36,38
1596677123,52,24
1596678620,19,7
1596681297,46,76
1596684860,31,51
1596686559,33,25
1596688479,29,15
1596690548,25,18
1596692061,27,29
1596695663,49,53
1596696907,15,8
1596698722,30,24
1596700217,25,50
1596701476,21,32
1596702858,19,24
1596705139,30,27
1596706458,12,24
1596708567,24,24
1596710256,27,23
1596713122,40,29
1596714265,11,27
1596715417,22,35
1596717259,25,17
1596720861,56,55
1596724458,47,45
1596725556,20,10
1596726928,21,28
1596728056,21,34
1596730713,49,31
1596731658,11,17
1596733825,40,19
1596735260,20,14
1596736854,24,50
1596738322,16,0
1596738858,2,25
1596742458,43,114
1596745040,33,34
1596746059,15,22
1596748509,24,28
1596750148,28,16
1596751557,21,27
1596752719,13,0
1596753855,19,30
1596755399,16,21
1596756860,20,21
1596759921,39,28
1596761417,27,44
1596764061,32,39
1596765292,6,10
1596766992,21,17
1596767660,13,21
1596769656,22,29
1596771797,36,28
