DateTime,Entries,UniqueIPs
1596546904,14851,14851
1596548054,14900,14900
1596549714,14881,14881
1596551657,14889,14889
1596553048,14913,14913
1596554716,14920,14920
1596555255,14914,14914
1596557200,14916,14916
1596558854,14903,14903
1596561216,14910,14910
1596562452,14898,14898
1596563677,14905,14905
1596565513,14902,14902
1596567017,14875,14875
1596568240,14863,14863
1596569655,14839,14839
1596571430,14813,14813
1596572715,14838,14838
1596574215,14813,14813
1596576314,14837,14837
1596579914,14808,14808
1596580457,14774,14774
1596584056,14749,14749
1596585346,14759,14759
1596586614,14742,14742
1596587654,14684,14684
1596589311,14664,14664
1596591253,14643,14643
1596593672,14642,14642
1596594857,14626,14626
1596596324,14612,14612
1596597557,14633,14633
1596599415,14611,14611
1596600752,14610,14610
1596602056,14611,14611
1596603261,14617,14617
1596605117,14628,14628
1596605656,14607,14607
1596608251,14595,14595
1596609515,14571,14571
1596611231,14541,14541
1596612856,14509,14509
1596614001,14519,14519
1596615185,14483,14483
1596616379,14470,14470
1596617842,14467,14467
1596619519,14479,14479
1596620053,14438,14438
1596621960,14413,14413
1596623115,14427,14427
1596624498,14376,14376
1596625708,14383,14383
1596627257,14373,14373
1596629432,14367,14367
1596630854,14355,14355
1596634453,14335,14335
1596638057,14321,14321
1596640185,14324,14324
1596641890,14307,14307
1596643062,14307,14307
1596645257,14315,14315
1596646938,14329,14329
1596648852,14315,14315
1596650394,14285,14285
1596651916,14318,14318
1596653414,13950,13950
1596655049,13746,13746
1596656333,13738,13738
1596659117,13768,13768
1596660615,13874,13874
1596662272,14171,14171
1596663254,14151,14151
1596664532,14175,14175
1596665991,14171,14171
1596667289,14157,14157
1596669918,14178,14178
1596671204,14174,14174
1596674055,14146,14146
1596677118,14159,14159
1596678615,14165,14165
1596681293,14092,14092
1596684856,14068,14068
1596686553,14070,14070
1596688475,14083,14083
1596690542,14096,14096
1596692057,14097,14097
1596695658,14072,14072
1596696903,14070,14070
1596698721,14052,14052
1596700214,13971,13971
1596701473,13788,13788
1596702854,13452,13452
1596705137,13415,13415
1596706453,13400,13400
1596708565,13382,13382
1596710254,13380,13380
1596713119,13402,13402
1596714263,13378,13378
1596715414,13205,13205
1596717257,13051,13051
1596720855,13029,13029
1596724453,13030,13030
1596725554,13033,13033
1596726926,13030,13030
1596728052,13030,13030
1596730711,13037,13037
1596731655,13035,13035
1596733824,13069,13069
1596735256,13067,13067
1596736851,13054,13054
1596738316,13085,13085
1596738853,13074,13074
1596742455,13101,13101
1596745038,13114,13114
1596746056,13087,13087
1596748505,13086,13086
1596750147,13073,13073
1596751554,13055,13055
1596752716,13083,13083
1596753850,13064,13064
1596755397,13065,13065
1596756854,13059,13059
1596759918,13066,13066
1596761415,13047,13047
1596764058,13017,13017
1596765288,13027,13027
1596766988,13031,13031
1596767657,13008,13008
1596769654,12991,12991
1596771794,12968,12968
1596773602,12942,12942
1596774856,12940,12940
1596777756,12952,12952
1596778457,12930,12930
1596780016,12911,12911
1596782055,12897,12897
1596783453,12912,12912
1596785114,12929,12929
1596785658,12890,12890
1596787345,12898,12898
1596789258,12869,12869
1596790475,12895,12895
1596792277,12902,12902
1596792858,12876,12876
1596794049,12886,12886
1596796455,12851,12851
1596798977,12875,12875
1596800052,12871,12871
1596803655,12847,12847
1596804846,12845,12845
1596806715,12845,12845
1596807255,12823,12823
1596809684,12817,12817
1596810854,12813,12813
1596813057,12815,12815
1596815100,12811,12811
1596816055,12784,12784
1596817513,12808,12808
1596818054,12779,12779
1596821113,12791,12791
1596822347,12784,12784
1596825256,12763,12763
1596827734,12767,12767
1596828854,12723,12723
1596831278,12454,12454
1596832457,12238,12238
1596834145,12216,12216
1596836053,12217,12217
1596839658,12179,12179
1596842153,12183,12183
1596843769,12157,12157
1596845091,12133,12133
1596846318,12149,12149
1596847428,12132,12132
1596850454,12107,12107
1596851941,12096,12096
1596853516,12126,12126
1596854055,12102,12102
1596856503,12092,12092
1596858481,12063,12063
1596861256,12046,12046
1596863617,12039,12039
1596865737,12028,12028
1596866971,12026,12026
1596868459,12017,12017
1596870381,12004,12004
1596871515,12011,12011
1596872972,11975,11975
1596874737,11977,11977
1596875657,11964,11964
1596879255,11946,11946
1596882855,11902,11902
1596884678,11908,11908
1596886456,11908,11908
1596888287,11916,11916
1596890056,11945,11945
1596892248,11968,11968
1596893654,11957,11957
1596895140,11946,11946
1596896401,11956,11956
1596897664,11943,11943
1596899543,11946,11946
1596900853,11916,11916
1596903444,11913,11913
1596905327,11886,11886
1596906930,11838,11838
1596908346,11822,11822
1596911114,11824,11824
1596912613,11773,11773
1596915256,11763,11763
1596918089,11789,11789
1596918858,11841,11841
1596922457,11919,11919
1596926054,11910,11910
1596928230,11904,11904
1596929654,11889,11889
1596933255,11864,11864
1596935176,11868,11868
1596936317,11881,11881
1596937815,11857,11857
1596940455,11853,11853
1596944068,11815,11815
1596947655,11792,11792
1596949445,11783,11783
1596950716,11782,11782
1596952216,11753,11753
1596953531,11737,11737
1596954855,11710,11710
1596956461,11687,11687
1596957913,11708,11708
1596959416,11680,11680
1596960991,11653,11653
1596962054,11637,11637
1596963539,11618,11618
1596965114,11630,11630
1596965656,11604,11604
1596966788,11598,11598
1596968714,11599,11599
1596970218,11554,11554
1596972855,11507,11507
1596974021,11506,11506
1596975784,11503,11503
1596976455,11477,11477
1596978955,11478,11478
1596980055,11462,11462
1596981254,11463,11463
1596983114,11498,11498
1596983655,11482,11482
1596986719,11522,11522
1596987256,11518,11518
1596988516,11536,11536
1596990855,11531,11531
1596992102,11556,11556
1596993913,11579,11579
1596995754,11582,11582
1596997514,11590,11590
1596998055,11566,11566
1596999808,11550,11550
1597001655,11579,11579
1597002992,11586,11586
1597004717,11613,11613
1597005259,11599,11599
1597008853,11613,11613
1597010226,11629,11629
1597011377,11636,11636
1597012456,11630,11630
1597016053,11656,11656
1597017464,11683,11683
1597019118,11696,11696
1597019654,11688,11688
1597022319,11699,11699
1597023255,11693,11693
1597024729,11689,11689
1597026316,11706,11706
1597027817,11698,11698
1597030456,11703,11703
1597031977,11711,11711
1597033518,11747,11747
1597034057,11736,11736
1597035356,11746,11746
1597037121,11743,11743
1597037662,11733,11733
1597039292,11734,11734
1597041253,11752,11752
1597042362,11770,11770
1597043803,11776,11776
1597045819,11773,11773
1597047917,11789,11789
1597049116,11806,11806
1597051402,11819,11819
1597052055,11805,11805
1597053830,11806,11806
1597055654,11815,11815
1597056802,11823,11823
1597057901,11826,11826
1597059517,11814,11814
1597061074,11781,11781
1597062324,11786,11786
1597063815,11759,11759
1597065030,11766,11766
1597066641,11760,11760
1597068353,11741,11741
1597070053,11732,11732
1597072883,11744,11744
1597074019,11724,11724
1597075558,11717,11717
1597076716,11736,11736
1597078116,11715,11715
1597080856,11705,11705
1597082459,11696,11696
1597083681,11725,11725
1597084454,11707,11707
1597085597,11709,11709
1597086859,11719,11719
1597088053,11696,11696
1597090044,11694,11694
1597091869,11666,11666
1597094713,11596,11596
1597095253,11575,11575
1597097310,11576,11576
