DateTime,AddedIPs,RemovedIPs
1596364597,43,57
1596366489,49,44
1596368406,19,52
1596370330,54,19
1596372279,40,55
1596374169,58,34
1596376088,62,65
1596378037,32,64
1596379929,66,30
1596381852,63,64
1596383801,68,61
1596385686,62,71
1596387608,57,62
1596389562,45,55
1596391447,48,47
1596393368,54,47
1596395330,51,49
1596397207,40,54
1596400083,32,42
1596402021,61,34
1596403959,59,61
1596405847,54,57
1596408013,56,53
1596411885,44,57
1596413765,48,45
1596415683,40,46
1596417635,52,45
1596419529,60,50
1596421447,35,57
1596423395,57,33
1596425284,41,60
1596427219,57,40
1596431047,55,57
1596432965,59,58
1596434928,58,56
1596436806,56,57
1596438727,45,58
1596440677,45,44
1596442583,50,47
1596444728,56,49
1596446648,57,56
1596448594,63,56
1596450483,47,64
1596452404,50,48
1596454358,55,45
1596456530,58,57
1596458408,41,58
1596462287,40,43
1596464168,34,40
1596466085,47,33
1596468044,59,48
1596469929,49,59
1596471849,45,50
1596473795,58,45
1596475690,40,56
1596477611,40,40
1596479564,58,41
1596481455,61,57
1596483371,50,59
1596485328,51,51
1596487210,56,54
1596489129,55,55
1596491082,35,57
1596492968,61,34
1596494891,44,61
1596496842,57,44
1596498733,57,55
1596500647,38,58
1596502598,67,39
1596504485,34,66
1596506414,47,37
1596509197,31,45
1596511236,53,31
1596513126,52,50
1596515290,31,53
1596517210,49,33
1596519157,46,46
1596521049,43,45
1596523047,55,46
1596524922,50,49
1596526808,50,53
1596528727,48,52
1596530678,32,51
1596532573,55,29
1596534489,39,56
1596536436,41,39
1596538332,48,41
1596540247,31,49
1596542867,48,33
1596544852,50,46
1596546732,50,48
1596548649,43,52
1596550567,51,45
1596552490,51,49
1596554436,62,51
1596556329,54,60
1596558247,62,54
1596560199,60,64
1596562083,58,60
1596564007,66,55
1596565954,53,69
1596568157,51,53
1596570004,64,49
1596572001,47,67
1596573876,41,47
1596575771,62,41
1596577687,32,62
1596579635,53,29
1596581524,67,52
1596583450,46,73
1596585395,63,43
1596587291,52,63
1596589209,63,52
1596591158,57,61
1596593048,56,55
1596594968,51,59
1596596919,61,51
1596598809,45,62
1596600728,32,43
1596602685,37,33
1596604568,40,37
1596606493,43,41
1596608433,50,42
1596610390,56,51
1596612276,39,53
1596614169,56,41
1596616088,26,59
1596618049,35,25
1596619929,60,31
1596622147,52,59
1596624037,40,53
1596627849,34,43
1596631688,32,35
1596633608,44,33
1596635554,39,40
1596637462,14,43
1596639366,24,14
1596642252,24,24
1596646089,21,24
1596648006,54,21
1596649954,48,52
1596651875,33,49
1596653767,47,32
1596655685,20,48
1596657650,45,21
1596659524,41,41
1596661694,53,42
1596663607,45,52
1596665560,48,48
1596667445,32,49
1596669368,41,31
1596671319,28,41
1596673204,50,28
1596675125,44,46
1596677076,28,48
1596678967,47,28
1596680885,22,48
1596682840,45,21
1596684724,34,42
1596686647,45,33
1596688599,31,44
1596690486,55,35
1596694356,41,56
1596696248,32,41
1596698169,47,31
1596700117,32,46
1596702006,36,34
1596703927,29,35
1596705879,36,28
1596707770,36,33
1596709687,29,38
1596711638,38,31
1596713526,34,38
1596717396,35,35
1596719294,37,31
1596721239,44,38
1596723132,11,47
1596725049,25,7
1596726977,55,26
1596728896,24,56
1596730834,71,27
1596732730,62,70
1596736595,65,59
1596738487,28,69
1596740440,57,28
1596744247,43,54
1596746204,50,44
1596748115,56,47
1596750007,46,56
1596751932,48,48
1596753874,34,50
1596755768,47,31
1596757688,44,49
1596759632,49,44
1596761525,52,47
1596765393,55,50
1596767289,34,57
1596771157,58,35
1596773051,61,58
1596774994,67,61
1596776911,66,67
1596778810,62,65
1596780763,55,62
1596782650,53,56
1596784567,47,55
1596788409,37,44
1596790327,34,40
1596792275,29,33
1596794193,56,25
1596796097,41,58
1596798045,47,43
1596799933,40,45
1596802101,22,42
1596804038,59,23
1596805929,60,58
1596807880,51,58
1596809780,53,51
1596811693,57,54
1596813634,69,59
1596815535,68,66
1596817447,59,69
1596819398,57,59
1596821286,55,51
1596823219,66,61
1596825154,58,66
1596827055,65,53
1596828967,65,70
1596830916,64,65
1596832806,57,65
1596834727,61,53
1596836691,53,62
1596838600,58,56
1596842406,66,58
1596844325,64,64
1596846275,61,63
1596848166,64,62
1596850085,59,59
1596852036,71,62
1596853932,68,73
1596855848,63,68
1596859687,59,64
1596861612,64,59
1596863555,64,64
1596865450,57,62
1596867369,60,55
1596869316,48,63
1596871204,57,50
1596873125,57,50
1596875077,39,63
1596876969,44,40
1596878929,49,46
1596880851,57,47
1596882726,50,54
1596884652,60,49
1596886595,57,64
1596888490,62,56
1596890406,63,59
1596892358,62,65
1596894253,55,62
1596896170,34,58
1596898117,44,32
1596900032,50,42
1596901929,59,52
1596903890,48,60
1596905767,69,48
1596907686,43,70
1596909635,62,41
1596911524,47,57
1596913701,46,51
1596915610,47,46
1596919448,48,49
1596921384,37,47
1596923317,36,38
1596925209,49,33
1596930966,39,48
1596933131,52,40
1596935049,48,50
1596936994,53,48
1596938894,43,53
1596940811,51,44
1596942758,41,54
1596944649,40,39
1596946571,64,42
1596948517,55,60
1596950410,49,59
1596952328,49,48
1596954279,38,51
1596956170,45,37
1596958089,37,45
1596960040,46,39
1596961931,59,45
1596965794,46,57
1596967691,44,43
1596969608,46,46
1596971559,28,47
1596973447,32,30
1596975369,40,32
1596977316,30,39
1596979206,50,33
1596981127,53,46
1596983077,27,57
1596984967,62,26
1596986889,65,59
1596988842,56,59
1596990729,59,61
1596992653,60,56
1596994595,62,68
1596996489,58,61
1596998412,47,50
1597002249,59,51
1597004169,55,62
1597006120,55,56
1597008006,48,50
1597009929,52,53
1597013772,57,46
1597015685,62,58
1597017641,62,63
1597019529,61,62
1597021695,62,60
1597023610,52,59
1597025558,50,51
1597027450,62,53
1597029370,58,62
1597031323,57,60
1597033207,62,57
1597035127,67,63
1597037122,51,67
1597038967,66,47
1597040886,45,70
1597042843,58,46
1597044728,53,56
1597046652,47,52
1597048593,40,49
1597050497,52,41
1597052416,48,50
1597054357,60,52
1597056249,63,60
1597058170,42,58
1597060121,56,44
1597062016,62,56
1597063929,63,62
1597065878,58,61
1597067770,59,61
1597069685,21,60
1597071634,69,24
1597073655,60,64
1597075715,46,58
1597077610,55,48
1597079525,63,56
1597081475,54,64
1597083369,62,53
1597085289,50,61
1597089125,59,48
1597091047,45,61
1597092993,57,47
1597094888,52,58
1597096814,51,51
1597098752,69,46
1597100654,55,67
1597104529,61,59
1597106406,64,61
1597108331,65,65
1597110272,68,64
1597112164,68,71
1597114084,65,66
1597116035,55,63
1597117926,53,53
1597119849,60,59
1597121791,61,58
1597123690,47,66
1597125635,70,46
1597128487,52,70
1597130434,60,47
1597132327,50,62
1597134248,36,48
1597136193,53,42
1597138091,56,46
1597140069,53,56
1597141958,57,56
1597143851,59,55
1597145771,54,54
1597147718,53,59
1597149606,53,53
1597151529,60,56
1597153474,52,58
1597155366,28,55
1597161124,40,28
1597163079,33,38
1597164966,31,34
1597166925,28,34
1597168896,50,28
1597170733,61,46
1597172656,57,61
1597174592,67,57
1597176491,58,63
1597178413,59,60
1597180354,57,57
1597182246,57,60
1597184165,63,57
1597189925,55,65
1597191876,50,50
1597193768,63,50
1597195685,51,64
1597197713,60,53
1597199528,56,58
1597203608,52,56
1597205555,60,53
1597207447,50,56
1597209368,51,56
1597211311,59,51
1597213239,50,58
1597215126,46,47
1597217074,42,47
1597220890,30,47
1597222841,41,29
1597224730,42,38
1597226892,51,43
1597228812,55,47
1597230762,52,62
1597233160,58,48
1597235051,40,58
1597236996,58,41
1597238886,50,59
1597240813,63,50
1597242753,19,67
1597244922,14,19
1597246818,32,14
1597249042,30,31
1597250930,33,30
1597252836,40,33
1597254771,43,40
1597256652,37,44
1597258595,57,33
1597260488,55,56
1597262416,51,54
1597264353,49,49
1597266260,62,52
1597268167,59,62
1597270132,47,55
1597272008,56,52
1597273931,50,54
1597275875,52,54
1597277775,55,50
1597279696,56,55
1597283527,71,57
1597285451,63,69
1597289285,66,60
1597291218,46,70
1597293153,52,46
1597295321,60,51
1597297206,63,61
1597299132,54,63
1597301080,54,53
1597302966,63,54
1597304886,52,61
1597306831,47,57
1597308724,37,45
1597310655,23,40
1597312593,46,24
1597314502,39,46
1597316408,64,38
1597318356,37,59
1597320247,51,39
1597322166,61,51
1597324112,64,58
1597326008,50,60
1597327930,20,58
1597329873,20,19
1597331783,33,21
1597335674,40,33
1597337527,52,33
1597339448,45,54
1597341393,69,51
1597343286,56,66
1597345217,60,57
1597347202,57,56
1597353407,52,61
1597355285,43,49
1597357234,61,45
1597359128,50,62
1597361079,57,49
1597362966,46,57
1597366848,41,45
1597368729,42,40
1597370648,49,41
1597372596,51,51
1597374497,47,52
1597376414,40,43
1597378353,44,39
1597380253,56,45
1597382166,52,62
1597384114,52,50
1597386040,63,51
1597387929,62,64
1597389878,48,62
1597391769,61,47
1597393689,34,61
1597395648,39,36
1597397532,39,40
1597399453,32,39
