DateTime,AddedIPs,RemovedIPs
1596607202,129,0
1596608433,20,19
1596610390,10,15
1596610802,119,0
1596612276,12,18
1596614169,23,17
1596614402,131,0
1596616088,4,30
1596618049,14,9
1596619929,16,18
1596622147,287,9
1596624037,8,12
1596627849,8,23
1596628803,235,0
1596631688,6,30
1596633608,24,15
1596635554,23,20
1596636002,312,0
1596637462,8,9
1596639366,11,9
1596642252,7,19
1596643203,264,0
1596646089,8,33
1596648006,22,14
1596649954,18,11
1596650402,239,0
1596651875,7,23
1596653767,21,20
1596655685,10,20
1596657650,20,25
1596659292,623,355
1596659524,17,19
1596661694,19,14
1596663607,18,22
1596665560,137,12
1596667445,11,15
1596669368,19,22
1596671319,171,15
1596672019,43,75
1596673204,19,25
1596675125,23,9
1596676812,654,3377
1596677076,12,24
1596678967,26,26
1596680885,5,19
1596682084,46,45
1596682840,19,22
1596683765,32,68
1596684724,219,29
1596686647,13,16
1596687846,109,0
1596688599,11,10
1596690002,96,0
1596690486,25,10
1596693602,111,0
1596694356,17,22
1596696248,2,22
1596697202,105,0
1596698169,11,16
1596700117,12,14
1596700802,191,0
1596702006,12,27
1596703927,7,3
1596704402,124,0
1596705879,8,13
1596707770,9,17
1596709687,7,24
1596711638,17,16
1596713526,313,0
1596717396,11,6
1596719294,360,5
1596721239,17,25
1596723132,3,20
1596725049,3,6
1596726977,339,9
1596728896,6,8
1596730834,38,0
1596732730,26,5
1596733202,276,0
1596736595,28,38
1596738487,11,8
1596740440,17,20
1596741302,292,1
1596744247,11,26
1596746204,23,17
1596748115,29,25
1596748502,195,0
1596750011,374,398
1596751932,22,15
1596753874,4,26
1596755768,15,0
1596756725,229,0
1596757688,16,17
1596759632,18,27
1596761525,25,0
1596763238,663,3491
1596765393,20,61
1596767046,41,0
1596767289,14,6
1596768248,35,0
1596771157,194,25
1596773051,29,15
1596774994,221,0
1596776411,16,41
1596776911,23,30
1596778810,24,0
1596780763,20,15
1596780902,221,0
1596782650,18,4
1596784567,16,0
1596788409,121,33
1596790327,12,0
1596792275,7,7
1596794193,327,17
1596796097,18,6
1596798045,15,10
1596799933,142,6
1596802101,5,0
1596802502,270,0
1596804038,30,7
1596805929,23,12
1596807880,11,12
1596809780,17,0
1596810602,303,0
1596811693,20,1
1596813634,27,23
1596814202,142,0
1596815535,17,5
1596817447,17,40
1596817802,126,0
1596819398,15,26
1596821286,16,0
1596823219,26,27
1596825154,16,7
1596827055,285,17
1596828967,20,0
1596830916,17,8
1596832202,186,0
1596832806,22,20
1596834727,23,32
1596836691,19,23
1596838600,13,19
1596839402,237,0
1596841450,40,41
1596842406,15,16
1596844327,477,371
1596846275,18,17
1596848166,102,19
1596850085,20,0
1596850202,146,2855
1596851764,42,46
1596852036,26,22
