DateTime,AddedIPs,RemovedIPs
1597000321,2,0
1597000921,1,0
1597001581,1,0
1597002242,23,22
1597003322,2,2
1597005182,1,0
1597005721,8,0
1597006082,21,21
1597009321,2,0
1597009922,18,19
1597010521,5,0
1597011721,8,0
1597012321,0,1
1597012921,6,0
1597013763,25,42
1597014121,5,0
1597015321,1,0
1597015981,1,0
1597016521,5,0
1597017176,1,0
1597017604,48,18
1597017721,4,1
1597018921,1,1
1597019521,89,1817
1597020121,1,0
1597021682,1820,89
1597022521,2,0
1597023604,48,45
1597023721,3,0
1597024553,1,0
1597024922,6,0
1597025521,2,0
1597026121,3,0
1597026782,2,0
1597027443,41,48
1597028522,4,0
1597029721,5,0
1597030381,1,0
1597030921,6,0
1597031281,49,48
1597032121,2,0
1597033321,2,0
1597034521,3,0
1597035122,38,35
1597038121,6,0
1597038963,30,30
1597040522,2,0
1597040882,17,16
1597043016,1,0
1597044121,4,0
1597044721,19,268
1597044785,1,0
1597046641,253,0
1597047721,3,0
1597048561,21,20
1597048921,1,0
1597050339,2,0
1597051321,2,0
1597051982,3,0
1597052402,20,24
1597052521,1,0
1597053721,1,0
1597054921,7,0
1597056121,1,0
1597056721,2,0
1597057321,1,0
1597058162,15,26
1597058522,6,0
1597059121,1,0
1597059181,2,1
1597059721,1,0
1597060082,19,24
1597060321,2,0
1597060921,3,0
1597061521,2,1
1597062121,3,0
1597062782,1,0
1597063322,2,0
1597063922,18,23
1597064521,1,0
1597065721,5,1
1597066922,4,0
1597067763,22,24
1597068121,3,1
1597068721,4,0
1597069321,1,0
1597069982,7,0
1597070521,1,0
1597071602,31,23
1597071722,4,0
1597072921,3,1
1597074721,2,0
1597075442,28,31
1597075921,1,0
1597076521,3,0
1597077361,18,23
1597077721,2,0
1597080121,34,0
1597080721,4,0
1597081203,30,30
1597081321,4,0
1597082521,3,0
1597083122,1,1
1597083721,4,0
1597084321,1,0
1597085042,21,32
1597086121,1,0
1597087321,3,0
1597087921,2,0
1597088521,1,0
1597088882,31,22
1597090921,2,0
1597092121,3,0
1597092722,18,28
1597093321,4,0
1597093921,1,0
1597094521,2,0
1597095721,3,0
1597096562,28,24
1597096921,1,0
1597097521,1,0
1597098121,1,0
1597098781,1,0
1597099321,2,0
1597099921,1,0
1597100409,17,32
1597101721,0,2
1597102434,58,26
1597103521,1,0
1597104122,2,0
1597105321,2,0
1597106162,16,17
1597106521,3,1
1597107722,1,0
1597108921,2,0
1597110002,41,28
1597110121,2,0
1597111321,1,0
1597112521,1,1
1597113181,1,0
1597113842,40,37
1597114989,1,0
1597115521,4,0
1597116121,1,0
1597117321,1,0
1597117681,57,65
1597118521,5,0
1597118767,1,0
1597119721,3,0
1597120922,4,0
1597121521,32,38
1597122122,2,0
1597123321,1,0
1597124521,2,0
1597125362,34,32
1597125722,4,0
1597126321,3,0
1597126921,3,0
1597128121,2,2
1597128722,5,0
1597129207,14,18
1597130521,1,0
1597131121,9,2684
1597131259,4,0
1597131721,1,0
1597133042,2683,0
1597133521,3,0
1597134121,2,0
1597134962,22,19
1597135321,4,0
1597136521,1,0
1597137122,4,0
1597137721,1,0
1597138382,1,0
1597138922,2,0
1597140121,1,0
1597140721,21,24
1597141321,4,0
1597141921,2,0
1597142642,25,16
1597143721,3,0
1597144321,2,0
1597144921,1,0
1597145582,1,0
1597146481,28,27
1597147321,2,0
1597150321,19,25
1597150921,1,0
1597152242,28,30
1597152721,4,0
1597153321,1,0
1597153960,0,20
1597154260,0,68
1597154521,1,0
1597155122,1,1
1597155722,3,0
1597156381,20,0
1597156921,1,0
1597157521,1,0
1597158008,25,21
1597158121,5,1
1597159921,11,0
1597160521,3,0
1597162082,33,22
1597162921,5,0
1597164002,23,21
1597164121,1,0
1597164722,3,0
1597165321,2,0
1597166521,2,0
1597167121,3,0
1597167848,22,33
1597168921,9,0
1597170228,5,0
1597170722,2,0
1597171682,19,27
1597172521,1,0
1597173121,3,0
1597173602,24,19
1597174381,3,0
1597174922,1,0
1597175521,2,0
1597176121,4,0
1597177321,1,1
1597177921,2,0
1597178521,4,0
1597179362,13,21
1597179721,2,0
1597180921,1,0
1597182121,3,0
1597182721,3,0
1597183210,28,29
1597183321,5,0
1597184521,1,0
1597185121,15,21
1597185182,3,0
1597185721,1,0
1597186922,3,1
1597187732,1,0
1597188121,2,0
1597188721,4,0
1597188781,1,0
1597189206,44,18
1597190522,4,0
1597191122,17,21
1597191722,2,0
1597194722,1,0
1597195202,51,33
1597195322,3,0
1597195981,1,0
1597196521,3,0
1597198921,2,0
1597200122,2,0
1597200962,42,53
1597202521,2,0
1597203122,1,0
1597203181,1,0
1597204321,3,0
1597206121,1,1
1597206722,43,53
