DateTime,AddedIPs,RemovedIPs
1596904921,1,0
1596906121,1,0
1596906722,2,0
1596908521,1,0
1596909122,3,0
1596909721,1,0
1596910321,4,0
1596910921,1,0
1596912122,2,0
1596912721,1,0
1596914522,0,1
1596915721,5,0
1596916921,10,0
1596918122,1,0
1596919321,1,0
1596921721,4,0
1596922921,0,1
1596923521,2,0
1596924121,6,0
1596927121,1,0
1596927722,1,0
1596928921,1,1
1596929581,1,0
1596930121,1,0
1596931321,1,0
1596932521,1,0
1596934321,0,2
1596936121,1,0
1596937321,2,0
1596937921,2,0
1596938521,2,0
1596939721,1,0
1596940921,4,0
1596942121,4,0
1596942721,3,0
1596943321,4,0
1596944521,5,0
1596945121,3,0
1596945722,4,0
1596946921,3,0
1596948122,4,2
1596948721,2,0
1596949321,1,0
1596950521,1,0
1596951722,1,0
1596952921,9,0
1596954721,2,0
1596955921,2,0
1596956521,1,0
1596957721,5,0
1596958921,3,0
1596960122,2,0
1596961321,4,0
1596961921,1,0
1596962522,3,0
1596963121,2,0
1596963721,2,0
1596964321,11,0
1596964921,4,0
1596966121,1,0
1596966721,2,0
1596967321,2,0
1596967921,1,1
1596968521,1,0
1596969121,1,1
1596971521,2,0
1596972121,1,0
1596972721,2,0
1596973321,3,0
1596973921,1,0
1596974521,3,0
1596975722,2,0
1596976921,5,0
1596978121,3,0
1596980521,3,0
1596981121,1,0
1596982321,2,0
1596982921,3,0
1596983521,2,0
1596984121,3,0
1596987721,1,0
1596988921,4,0
1596989521,3,0
1596990121,2,2
1596991321,1,0
1596991921,1,0
1596993121,2,0
1596994381,5,0
1596994922,1,0
1596996122,4,0
1596997321,11,0
1596997982,1,0
1596998521,4,0
1596999721,2,0
1597000321,2,0
1597000921,1,0
1597001581,1,0
1597002121,2,0
1597003322,2,2
1597005182,1,0
1597005721,8,0
1597009321,2,0
1597009921,4,0
1597010521,5,0
1597011721,8,0
1597012321,0,1
1597012921,6,0
1597014121,5,0
1597015321,1,0
1597015981,1,0
1597016521,5,0
1597017721,4,1
1597018921,1,1
1597020121,1,0
1597021322,3,0
1597022521,2,0
1597023721,3,0
1597024922,6,0
1597025521,2,0
1597026121,3,0
1597026782,2,0
1597027321,4,0
1597028522,4,0
1597029721,5,0
1597030381,1,0
1597030921,6,0
1597032121,1,0
1597033321,2,0
1597034521,3,0
1597038121,6,0
1597040522,2,0
1597042921,1,0
1597044121,4,0
1597044785,1,0
1597046521,2,0
1597047721,3,0
1597048921,1,0
1597050121,2,0
1597051321,2,0
1597051982,3,0
1597052521,1,0
1597053721,1,0
1597054921,7,0
1597056121,1,0
1597056721,2,0
1597057321,1,0
1597058522,6,0
1597059121,1,0
1597059181,2,1
1597059721,1,0
1597060321,2,0
1597060921,3,0
1597061521,2,1
1597062121,3,0
1597062782,1,0
1597063322,2,0
1597063922,1,0
1597064521,1,0
1597065721,5,1
1597066922,4,0
1597068121,3,1
1597068721,4,0
1597069321,1,0
1597069982,7,0
1597070521,1,0
1597071722,4,0
1597072921,3,1
1597074721,2,0
1597075921,1,0
