DateTime,AddedIPs,RemovedIPs
1596496504,308,256
1596498304,277,124
1596500105,189,201
1596501904,189,195
1596503704,109,67
1596505504,82,243
1596507304,116,51
1596510005,301,296
1596511804,337,202
1596513604,280,88
1596515404,401,152
1596517204,279,93
1596519003,254,113
1596520804,490,143
1596522605,241,190
1596524404,186,186
1596526204,130,139
1596528003,149,446
1596529803,117,400
1596531603,119,270
1596533403,273,281
1596535204,336,197
1596537004,435,223
1596539703,390,362
1596541503,313,289
1596544203,183,275
1596546003,151,185
1596547803,134,113
1596549603,168,82
1596551403,179,117
1596553203,151,100
1596555002,137,293
1596556803,114,420
1596558602,265,267
1596560403,109,301
1596562202,122,348
1596564003,118,240
1596565803,149,277
1596567602,139,206
1596569403,243,193
1596571203,264,136
1596573003,110,131
1596574803,113,124
1596576603,80,98
1596578403,82,351
1596580204,110,1546
1596582004,195,395
1596583804,165,370
1596585604,163,342
1596587404,169,530
1596589204,120,250
1596591004,120,237
1596592804,82,597
1596594604,170,4
1596596404,165,26
1596598204,139,71
1596600005,156,119
1596601804,205,76
1596603605,174,52
1596605405,177,64
1596607204,167,44
1596609005,159,5
1596610805,137,244
1596612606,138,107
1596614406,148,91
1596616206,244,98
1596618005,311,46
1596619805,275,184
1596621606,165,266
1596623406,160,354
1596625205,131,343
1596627004,135,308
1596628804,172,100
1596630604,238,140
1596632404,182,23
1596634205,117,12
1596636005,262,144
1596637805,286,79
1596639604,144,60
1596641405,141,17
1596643204,142,20
1596645005,157,59
1596646804,202,154
1596648604,248,147
1596650404,176,245
1596652204,191,181
1596654004,301,224
1596655804,150,29
1596657604,99,50
1596659404,153,109
1596661204,173,72
1596663004,176,77
1596664803,235,101
1596666604,186,123
1596668404,213,36
1596670203,266,110
1596672004,200,140
1596673804,185,205
1596675604,199,206
1596677404,182,144
1596679204,176,124
1596681004,258,327
1596682803,110,201
1596684604,137,117
1596686403,156,558
1596688204,253,292
1596690004,178,321
1596691804,168,300
1596693604,196,485
1596695404,111,96
1596697204,301,114
1596699004,157,163
1596700803,202,221
1596702604,181,324
1596704405,137,334
1596706205,258,309
1596708004,212,185
1596709804,256,145
1596711605,218,220
1596713404,213,298
1596715204,349,196
1596717004,379,161
1596718804,199,278
1596720604,192,168
1596722405,171,200
1596724204,220,174
1596726004,271,207
1596727803,364,225
1596729604,268,112
1596731404,328,134
1596733204,202,51
1596735004,202,121
1596736805,297,140
1596738604,319,82
1596740404,166,159
1596742204,139,280
1596744004,215,216
1596745804,161,175
1596747604,132,170
1596749405,310,539
1596751205,198,443
1596753004,171,327
1596754804,108,430
1596756604,172,727
1596758405,270,840
1596760204,318,785
1596762006,199,576
1596763806,246,447
1596765608,258,420
1596767408,158,671
1596770108,259,464
1596771909,120,296
1596773709,221,169
1596775510,273,222
1596777310,172,228
1596779111,186,341
1596780911,220,255
1596782713,216,195
1596784512,169,233
1596786315,158,238
1596788116,307,108
1596789917,278,102
1596791719,257,178
1596793520,251,207
1596795318,141,129
1596797116,227,168
1596798917,283,124
1596800716,213,310
1596802518,196,224
1596804316,204,237
1596807018,297,439
1596808817,254,107
1596810617,245,221
1596812416,338,143
1596814217,146,229
1596816016,140,196
1596817815,150,497
1596819616,797,292
1596821417,536,112
1596823216,507,138
1596825015,305,71
1596826816,480,442
1596828616,345,695
1596830415,307,452
1596832215,202,328
1596834014,301,464
1596835811,240,445
1596837613,377,344
1596839413,252,284
1596841214,294,403
1596843014,261,285
1596844814,250,335
1596846614,335,296
1596848413,277,357
1596850215,341,209
1596852015,289,296
1596853818,285,283
1596855615,228,263
1596857417,163,310
1596859215,172,346
1596861016,234,320
1596862816,285,178
1596864616,674,174
1596866415,458,23
1596868214,304,42
1596870016,381,125
1596871817,369,131
1596873614,493,54
1596875414,322,51
1596877215,364,37
1596879016,274,150
1596880812,297,203
1596882611,192,81
1596884412,415,106
1596886211,920,552
1596888012,246,322
1596889811,350,304
1596891611,233,158
1596893410,279,160
1596895210,659,207
1596897010,217,314
1596898809,326,401
1596900609,245,590
1596902409,512,352
1596904208,235,327
1596906008,435,1514
1596907807,927,479
1596909606,651,397
1596911405,410,852
1596913208,435,496
1596915008,428,655
1596916807,486,387
1596918608,449,380
1596920408,357,1236
1596922208,240,681
1596924008,286,593
1596925809,278,611
1596927608,248,361
1596929409,243,383
1596931208,298,184
1596933009,213,62
1596934808,268,79
1596936610,222,83
1596938409,290,101
1596940209,252,103
1596942009,290,116
1596943809,260,158
1596945609,285,146
1596947409,284,150
1596949209,370,66
1596951010,318,56
1596952809,548,67
1596954609,419,128
1596956408,362,287
1596958207,298,344
1596960007,400,212
1596961808,351,350
1596963608,372,267
1596965406,328,237
1596967207,617,271
1596969007,451,244
1596970806,400,246
1596972606,373,392
1596974406,408,447
1596976206,431,589
1596978005,455,558
1596979806,367,247
1596981606,412,211
1596983405,259,338
1596985206,453,333
1596987005,453,200
1596988804,273,203
1596990604,281,291
1596992405,332,587
1596994204,305,315
1596996005,368,431
1596997804,417,445
1596999604,438,327
1597001404,419,318
1597003204,439,179
1597005005,328,447
1597006805,369,346
1597008604,336,242
1597010405,309,284
1597012204,275,271
1597014004,414,159
1597015805,374,380
1597017604,379,550
1597019404,294,366
1597021205,257,256
1597023004,277,185
1597024804,379,137
1597026605,409,457
1597028404,353,388
1597030204,269,125
1597032004,336,401
1597033805,321,387
1597035604,441,478
1597037405,356,307
1597039205,311,398
1597041004,412,339
1597042805,357,475
1597044605,407,338
1597046404,443,493
1597048204,723,380
1597050005,361,227
1597051804,345,301
1597053604,313,274
1597055405,326,393
1597057205,444,481
1597059004,393,247
1597060805,409,289
1597062604,339,456
1597064405,734,222
1597066204,523,373
1597068004,389,334
1597069804,313,478
1597071605,369,299
1597073404,387,292
1597075205,408,274
1597077005,351,518
1597078804,410,310
1597080604,377,460
1597082404,328,523
1597084204,253,292
1597086004,384,360
1597087805,405,360
1597089605,498,507
1597091405,309,470
1597093204,280,411
1597095004,226,159
1597096805,333,727
1597098605,469,684
1597101304,617,333
1597103104,361,248
1597104905,277,370
1597106704,384,420
1597108503,548,499
1597110304,395,373
1597112104,301,622
1597113904,289,295
1597115705,213,439
1597117504,541,442
1597119304,471,628
1597121104,366,375
1597122905,311,339
1597124704,305,348
1597126505,486,515
1597128304,429,327
1597130105,315,531
1597131904,304,355
1597133704,321,513
1597135504,524,617
1597137304,419,303
1597139103,282,208
1597140903,302,150
1597142704,394,214
1597144504,471,179
1597146304,501,142
1597148104,348,300
1597149904,453,331
1597151704,463,282
1597153504,385,334
1597155304,387,272
1597157104,418,251
1597158904,385,224
1597160704,440,299
1597162504,300,448
1597164304,348,531
1597166104,530,588
1597167904,247,370
1597169704,303,915
1597171503,359,328
1597173304,268,465
1597175103,476,477
1597176904,404,563
1597178705,396,354
1597180504,520,511
1597182304,291,396
1597184104,358,285
1597185905,394,446
1597187704,412,591
1597189503,429,423
1597191304,322,321
1597193104,528,360
1597194904,338,368
1597196705,419,225
1597198504,454,217
1597200305,536,256
1597202104,338,470
1597203903,373,395
1597205705,340,442
1597207504,447,727
