DateTime,AddedIPs,RemovedIPs
1596851521,1,7
1596853921,1,8
1596854521,2,3
1596855722,3,0
1596856321,2,1
1596856921,0,2
1596858121,0,1
1596858721,1,3
1596860521,0,2
1596861721,4,0
1596862921,8,2
1596864121,1,0
1596865321,1,4
1596866522,3,0
1596867722,0,6
1596868921,0,1
1596870122,1,2
1596871321,3,0
1596874921,0,7
1596876122,7,0
1596876722,1,9
1596877322,0,24
1596878522,2,1
1596879721,0,1
1596880322,1,0
1596881521,1,0
1596883921,3,2
1596884521,1,0
1596885721,0,1
1596886321,1,0
1596887522,2,0
1596888121,2,0
1596889321,2,0
1596889921,1,0
1596890521,2,0
1596891121,1,1
1596891721,1,2
1596894121,0,4
1596894721,0,1
1596895322,3,0
1596895921,0,3
1596896521,1,2
1596897121,2,0
1596897721,1,1
1596898321,2,2
1596898921,2,0
1596899522,3,0
1596900122,0,1
1596901321,9,0
1596901922,1,3
1596904321,1,1
1596905521,0,2
1596906121,2,0
1596906721,1,2
1596907321,0,1
1596908521,1,0
1596909721,0,2
1596912122,1,3
1596913321,2,0
1596914522,1,2
1596915721,3,1
1596916921,18,1
1596918122,1,8
1596919321,4,7
1596920521,1,0
1596921721,3,5
1596923521,6,5
1596924121,1,5
1596924721,0,5
1596927121,3,0
1596928321,1,9
1596929522,3,0
1596930121,0,10
1596931321,5,0
1596932521,0,16
1596933121,3,0
1596934321,0,4
1596934921,0,3
1596936121,0,2
1596936721,1,2
1596937921,2,0
1596938521,1,0
1596941521,0,3
1596942721,0,2
1596944521,1,3
1596946921,3,0
1596948121,2,3
1596948721,0,1
1596951121,0,3
1596951722,1,0
1596952921,1,1
1596954121,0,2
1596954721,1,0
1596955321,1,0
1596956521,3,3
1596957121,1,2
1596957721,1,1
1596958921,2,3
1596960122,3,0
1596960722,0,1
1596962522,3,0
1596963721,0,2
1596964321,17,0
1596965521,2,0
1596966121,0,4
1596967921,0,1
1596969121,0,1
1596970921,0,4
1596972721,4,0
1596973921,0,1
1596975121,0,3
1596976921,1,0
1596978721,1,0
1596979321,1,0
1596979921,0,2
1596981121,2,5
1596982321,1,2
1596982921,1,0
1596983521,0,1
1596984121,1,0
1596984722,1,0
1596987721,0,1
1596988321,1,1
1596989521,3,1
1596990121,1,0
1596991321,0,1
1596992521,1,9
1596993121,4,14
1596994321,1,3
1596996122,1,6
1596996721,2,0
1596997321,1,0
1596998521,5,2
1596999122,1,0
1596999721,1,1
1597000321,2,2
1597000921,4,3
1597002121,3,1
1597002721,4,0
1597003322,1,0
1597004521,4,0
1597005721,10,2
1597006921,5,3
1597008122,3,0
1597008721,1,2
1597009921,4,3
1597010521,7,3
1597011721,2,1
1597012921,1,2
1597014121,2,0
1597015321,0,6
1597016521,2,0
1597017721,2,19
1597018921,5,4
1597020121,0,2
1597021321,1,1
1597022521,0,7
1597023721,3,1
1597024922,2,2
1597025521,3,5
1597026722,0,3
1597027921,0,4
1597029721,0,6
1597030921,1,0
1597032121,3,2
1597033321,1,0
1597034521,4,6
1597035721,2,2
1597036921,1,0
1597038121,5,6
1597039321,1,0
1597040522,0,1
1597041121,0,13
1597042322,1,0
1597042921,0,3
1597044121,3,4
1597046521,2,4
1597047721,1,0
1597048321,1,0
1597049521,0,1
1597050121,1,2
1597050721,1,0
1597051921,1,20
1597052521,1,0
1597053721,2,2
1597054321,10,0
1597055521,2,2
1597056721,1,0
1597057321,1,2
1597059121,2,2
1597059721,2,1
1597060321,3,0
1597061521,5,1
1597062721,1,2
1597064521,1,3
1597065721,6,1
1597066922,1,4
1597068121,3,9
1597069321,1,7
1597070521,1,2
1597071722,1,14
1597072921,2,4
1597073521,0,2
1597074121,1,0
1597075321,0,1
1597075921,2,0
1597077121,0,7
1597078921,1,2
1597079521,56,2
1597080721,1,0
1597081321,1,0
1597082521,2,5
1597083721,1,0
1597084921,1,5
1597086121,1,0
1597087321,3,6
1597087921,0,4
1597089721,3,2
1597090322,0,5
1597091521,2,2
1597092721,3,16
1597093321,3,0
1597093921,1,5
1597095122,1,0
1597096921,3,3
1597097521,1,0
1597098721,7,3
1597099321,1,0
1597099921,2,0
1597101721,0,4
1597102321,1,1
1597103521,2,2
1597104122,1,6
1597105321,4,1
1597106521,0,3
1597107722,1,0
1597108921,2,7
1597110121,3,0
1597110721,0,4
1597111321,2,1
1597111921,1,3
1597113121,3,0
1597114321,4,3
1597115521,4,0
1597117321,1,0
1597118521,1,1
1597119721,1,8
1597120921,9,2
1597122122,2,1
1597122721,1,5
1597123921,1,1
1597124521,1,0
1597125722,0,2
1597126321,2,2
1597126921,2,2
1597128121,0,2
1597128722,2,0
1597129321,0,1
1597131121,1,2
1597133521,3,4
1597134121,1,2
1597135321,4,0
1597136521,0,2
1597137122,1,3
1597138921,2,1
1597140121,2,5
1597141321,3,15
1597142522,2,14
1597143721,2,1
1597144321,2,0
1597145522,1,4
1597147321,0,2
1597148521,0,1
1597150321,3,0
1597152121,10,0
1597152721,3,0
1597153321,0,2
1597155122,1,1
1597156321,49,2
1597156921,1,4
1597157521,7,0
1597158721,6,2
1597159921,7,0
1597160521,3,5
1597161722,4,6
1597162321,1,5
1597163521,1,1
1597165321,3,7
1597166521,6,0
1597167121,1,5
1597167722,0,2
1597168921,0,5
1597170121,5,0
1597171322,2,0
1597171921,1,3
1597173121,2,5
1597173721,1,0
1597174321,6,3
1597175521,2,3
1597176121,3,0
1597176722,6,13
1597177921,3,1
1597178521,1,0
1597179721,1,6
1597180921,3,4
1597182121,6,7
1597183921,4,4
1597184521,0,5
1597185121,5,0
1597185721,1,6
1597186922,2,4
1597188121,2,1
1597188721,0,6
1597189321,0,4
1597190522,6,0
1597191122,2,9
1597192321,3,0
1597193522,2,2
1597194721,0,3
1597195322,0,3
1597196521,2,6
1597197122,0,4
1597198921,5,0
1597200122,2,0
1597200721,0,6
1597202521,2,0
1597203721,2,2
1597204321,0,2
1597206121,2,0
1597207321,1,1
1597207921,0,3
1597209122,6,0
1597210921,0,1
1597211521,1,1
1597212121,0,6
1597213321,2,2
1597214521,0,3
1597215721,4,0
1597216921,5,0
1597217522,0,4
1597218721,6,0
1597219321,4,0
1597219921,0,3
1597221122,1,2
1597222921,1,10
1597224721,0,2
1597225321,2,0
1597225921,0,6
1597226521,2,0
1597227121,11,7
1597228321,0,3
1597228921,1,3
1597229521,1,0
1597230122,0,6
1597231321,0,5
1597231921,2,0
1597233722,1,0
1597235521,1,0
1597236121,0,1
1597237322,0,1
1597238522,1,8
1597240921,2,3
1597241521,3,1
1597242721,2,3
1597244521,1,5
1597245722,3,1
1597247522,1,2
1597248722,2,0
1597249321,1,0
1597249921,0,5
1597250521,1,6
1597253521,6,6
1597254122,0,6
1597255321,2,0
1597256521,3,1
1597257121,3,0
1597258321,3,2
1597258921,0,3
1597260121,6,4
1597261321,1,0
1597261921,0,1
1597262521,0,1
1597264321,7,1
1597264921,3,6
1597266121,4,9
1597267321,8,2
1597268521,7,1
1597269121,4,0
1597269722,0,4
1597270321,1,0
1597270921,2,1
1597272122,6,0
1597273322,3,5
1597274521,1,0
1597275121,1,2
1597275721,64,0
1597276321,2,27
1597278122,0,2
1597279321,2,0
1597280521,0,2
1597282922,1,5
1597284121,3,5
1597285321,2,0
1597286521,4,3
1597287722,1,3
1597288922,1,2
1597290121,0,3
1597291322,3,0
1597291921,1,5
1597294321,6,0
1597294921,0,5
1597296121,2,7
1597296721,1,0
1597297921,0,2
1597299121,3,1
1597299721,2,0
1597300921,2,5
1597302121,0,2
1597303321,3,14
1597304521,2,0
1597305122,1,21
1597306921,8,0
1597308121,0,3
1597309321,3,5
1597311121,2,23
1597311721,1,0
1597312321,0,1
1597315321,0,2
1597315922,0,5
1597317721,4,2
1597318322,4,0
1597320122,0,8
1597321921,3,1
1597322521,5,2
1597323721,0,1
1597324321,1,1
1597325521,1,2
1597326121,0,2
1597327321,1,0
1597327921,2,2
1597329121,0,1
1597330921,1,1
1597331522,1,0
1597332721,0,1
1597335121,2,0
1597336321,1,2
1597337521,1,6
1597338121,3,0
1597338722,1,1
1597339922,1,3
1597341122,1,5
1597342322,0,2
1597344121,0,2
1597345321,2,2
1597345921,1,0
1597346521,0,6
1597347121,2,0
1597347721,5,0
1597348921,0,2
1597349522,1,0
1597350721,7,0
1597351322,0,2
1597352521,7,0
1597354921,0,2
1597356121,3,0
1597356721,0,2
1597359121,0,1
1597360321,3,4
1597360921,26,7
1597362721,0,1
1597363921,1,1
1597364521,4,3
1597365721,1,0
1597366921,3,1
1597367521,2,0
1597368121,0,2
1597369321,1,3
1597370521,0,1
1597371721,1,0
1597372321,1,6
1597373521,1,0
1597374121,0,1
1597376521,1,2
1597377721,0,2
1597378922,0,1
1597379521,1,1
1597380121,1,0
1597381321,4,1
1597381921,0,5
1597383121,1,2
1597384921,3,1
1597388522,2,3
1597391522,0,1
1597392721,9,1
1597393321,2,0
1597394521,0,1
1597395121,2,0
1597396921,3,0
1597398122,1,0
1597399921,0,2
