DateTime,AddedIPs,RemovedIPs
1596964921,21,21
1596965521,40,40
1596966121,26,26
1596966721,30,30
1596967321,26,26
1596967921,28,28
1596968521,8,8
1596969121,10,10
1596969722,16,16
1596970921,35,35
1596971521,6,6
1596972121,28,28
1596972721,31,31
1596973921,17,17
1596974521,12,12
1596975121,11,11
1596976321,22,22
1596976921,11,11
1596977522,10,10
1596978121,8,8
1596978721,11,11
1596979321,8,8
1596979921,8,8
1596980521,18,18
1596981121,26,26
1596982321,16,16
1596982921,16,16
1596983521,12,12
1596984121,10,10
1596984722,8,8
1596985922,14,14
1596986521,6,6
1596987721,38,38
1596988321,18,18
1596989521,41,41
1596990121,9,9
1596990721,17,17
1596991321,17,17
1596991921,14,14
1596992521,21,21
1596993121,40,40
1596994321,32,32
1596994922,15,15
1596996122,30,30
1596996721,36,36
1596997321,13,13
1596998521,46,46
1596999122,46,46
1596999721,28,28
1597000321,60,60
1597000921,46,46
1597002121,55,55
1597002721,53,53
1597003322,31,31
1597004521,76,76
1597005721,85,85
1597006921,92,92
1597008122,82,82
1597008721,31,31
1597009921,67,67
1597010521,40,40
1597011721,31,31
1597012321,19,19
1597012921,17,17
1597014121,45,45
1597015321,53,53
1597016521,89,89
1597017721,81,81
1597018921,81,81
1597020121,49,49
1597021321,42,42
1597022521,12,12
1597023721,29,29
1597024922,57,57
1597025521,20,20
1597026722,18,18
1597027921,18,18
1597028522,11,11
1597029721,28,28
1597030921,28,28
1597032121,62,62
1597033321,58,58
1597034521,82,82
1597035721,47,47
1597036321,17,17
1597036921,47,47
1597038121,78,78
1597039321,59,59
1597040522,23,23
1597041121,6,6
1597042322,33,33
1597042921,9,9
1597044121,26,26
1597045321,11,11
1597046521,9,9
1597047721,14,14
1597048321,7,7
1597049521,14,14
1597050121,15,15
1597050721,9,9
1597051921,17,17
1597052521,10,10
1597053122,12,12
1597053721,8,8
1597054321,22,22
1597055521,49,49
1597056121,11,11
1597056721,18,18
1597057321,18,18
1597057922,9,9
1597059121,22,22
1597059721,19,19
1597060321,16,16
1597061521,27,27
1597062721,28,28
1597063322,16,16
1597064521,13,13
1597065721,28,28
1597066922,17,17
1597068121,26,26
1597068721,10,10
1597069321,15,15
1597070521,18,18
1597071722,18,18
1597072921,30,30
1597073521,13,13
1597074121,12,12
1597075321,13,13
1597075921,18,18
1597077121,21,21
1597077721,6,6
1597078921,20,20
1597079521,95,95
1597080721,27,27
1597081321,15,15
1597082521,40,40
1597083122,12,12
1597083721,17,17
1597084921,18,18
1597085521,21,21
1597086121,13,13
1597087321,33,33
1597087921,9,9
1597088521,9,9
1597089721,29,29
1597090322,14,14
1597091521,62,62
1597092721,43,43
1597093321,37,37
1597093921,7,7
1597095122,63,63
1597095721,18,18
1597096921,54,54
1597097521,29,29
1597098721,88,88
1597099321,60,60
1597099921,11,11
1597100521,12,12
1597101721,24,24
1597102321,15,15
1597103521,60,60
1597104122,29,29
1597105321,68,68
1597106521,20,20
1597107722,25,25
1597108921,43,43
1597110121,20,20
1597110721,14,14
1597111321,27,27
1597111921,8,8
1597113121,53,53
1597114321,52,52
1597115521,24,24
1597116121,7,7
1597117321,40,40
1597118521,45,45
1597119721,28,28
1597120921,69,69
1597122122,21,21
1597122721,8,8
1597123921,39,39
1597124521,9,9
1597125722,15,15
1597126321,9,9
1597126921,36,36
1597128121,20,20
1597128722,29,29
1597129321,29,29
1597130521,15,15
1597131121,16,16
1597132321,7,7
1597133521,30,30
1597134121,31,31
1597135321,32,32
1597135921,4,4
1597136521,10,10
1597137122,21,21
1597137721,33,33
1597138921,22,22
1597139521,7,7
1597140121,39,39
1597141321,53,53
1597142522,39,39
1597143122,13,13
1597143721,19,19
1597144321,5,5
1597145522,17,17
1597146121,10,10
1597146722,6,6
1597147321,7,7
1597148521,17,17
1597149121,10,10
1597149721,11,11
1597150321,30,30
1597150921,17,17
1597152121,29,29
1597152721,22,22
1597153321,12,12
1597153921,10,10
1597155122,13,13
1597156321,69,69
1597156921,20,20
1597157521,15,15
1597158721,28,28
1597159321,11,11
1597159921,12,12
1597160521,22,22
1597161722,32,32
1597162321,22,22
1597163521,33,33
1597164121,30,30
1597165321,54,54
1597165921,9,9
1597166521,39,39
1597167121,33,33
1597167722,10,10
1597168321,6,6
1597168921,6,6
1597170121,80,80
1597170722,15,15
1597171322,35,35
1597171921,38,38
1597173121,37,37
1597173721,15,15
1597174321,63,63
1597175521,58,58
1597176121,41,41
1597176722,24,24
1597177921,50,50
1597178521,29,29
1597179721,50,50
1597180921,56,56
1597181522,25,25
1597182121,39,39
1597182721,20,20
1597183921,63,63
1597184521,39,39
1597185121,49,49
1597185721,16,16
1597186922,36,36
1597188121,33,33
1597188721,7,7
1597189321,5,5
1597190522,79,79
1597191122,22,22
1597192321,59,59
1597193522,24,24
1597194121,19,19
1597194721,5,5
1597195322,5,5
1597196521,27,27
1597197122,3,3
1597198921,50,50
1597200122,51,51
1597200721,35,35
1597202521,73,73
1597203122,44,44
1597203721,42,42
1597204321,19,19
1597205521,34,34
1597206121,30,30
1597207321,17,17
1597207921,12,12
1597209122,31,31
1597209721,12,12
1597210921,54,54
1597211521,26,26
1597212121,6,6
1597213321,68,68
1597214521,39,39
1597215721,59,59
1597216921,67,67
1597217522,13,13
1597218721,52,52
1597219321,23,23
1597219921,10,10
1597221122,21,21
1597221721,24,24
1597222921,19,19
1597223521,5,5
1597224721,13,13
1597225321,19,19
1597225921,8,8
1597226521,18,18
1597227121,41,41
1597227721,6,6
1597228321,10,10
1597228921,18,18
1597229521,10,10
1597230122,12,12
1597231321,35,35
1597231921,18,18
1597232521,16,16
1597233722,13,13
1597234321,17,17
1597234921,10,10
1597235521,11,11
1597236121,12,12
1597237322,23,23
1597238522,16,16
1597239121,15,15
1597239721,4,4
1597240921,14,14
1597241521,10,10
1597242721,13,13
1597243321,7,7
1597244521,9,9
1597245722,35,35
1597246921,8,8
1597247522,9,9
1597248722,22,22
1597249321,16,16
1597249921,3,3
1597250521,17,17
1597251721,15,15
1597252321,5,5
1597253521,78,78
1597254122,10,10
1597255321,31,31
1597255921,10,10
1597256521,37,37
1597257121,26,26
1597257721,15,15
1597258321,63,63
1597258921,28,28
1597260121,43,43
1597261321,44,44
1597261921,6,6
1597262521,15,15
1597263121,14,14
1597264321,51,51
1597264921,50,50
1597266121,41,41
1597267321,48,48
1597268521,56,56
1597269121,35,35
1597269722,28,28
1597270321,12,12
1597270921,18,18
1597272122,64,64
1597273322,39,39
1597274521,12,12
1597275121,44,44
1597275721,97,97
1597276321,2,2
1597276921,1,1
1597278122,44,44
1597279321,31,31
1597280521,25,25
1597281121,12,12
1597281721,5,5
1597282922,27,27
1597284121,19,19
1597285321,28,28
1597286521,46,46
1597287722,50,50
1597288922,59,59
1597290121,39,39
1597291322,81,81
1597291921,21,21
1597293121,31,31
1597294321,77,77
1597294921,18,18
1597296121,41,41
1597296721,47,47
1597297321,6,6
1597297921,12,12
1597299121,27,27
1597299721,21,21
1597300921,27,27
1597302121,27,27
1597303321,73,73
1597304521,41,41
1597305122,29,29
1597306921,66,66
1597308121,10,10
1597309321,57,57
1597309921,24,24
1597311121,36,36
1597311721,22,22
1597312321,11,11
1597313521,23,23
1597314121,22,22
1597315321,10,10
1597315922,10,10
1597316521,14,14
1597317121,2,2
1597317721,14,14
1597318322,27,27
1597318921,12,12
1597320122,17,17
1597320721,8,8
1597321921,37,37
1597322521,44,44
1597323721,8,8
1597324321,11,11
1597325521,12,12
1597326121,37,37
1597327321,22,22
1597327921,9,9
1597329121,8,8
1597329721,6,6
1597330921,20,20
1597331522,11,11
1597332721,22,22
1597333322,6,6
1597333921,11,11
1597335121,28,28
1597336321,29,29
1597336921,3,3
1597337521,7,7
1597338121,35,35
1597338722,19,19
1597339922,18,18
1597340521,8,8
1597341122,23,23
1597342322,39,39
1597342921,29,29
1597344121,22,22
1597345321,63,63
1597345921,10,10
1597346521,9,9
1597347121,9,9
1597347721,44,44
1597348921,29,29
1597349522,7,7
1597350721,66,66
1597351322,20,20
1597352521,83,83
1597353121,12,12
1597353721,17,17
1597354921,48,48
1597356121,45,45
1597356721,17,17
1597357321,19,19
1597358521,25,25
1597359121,35,35
1597360321,77,77
1597360921,60,60
1597361521,34,34
1597362721,33,33
1597363921,62,62
1597364521,35,35
1597365721,41,41
1597366921,59,59
1597367521,45,45
1597368121,10,10
1597369321,41,41
1597370521,40,40
1597371721,36,36
1597372321,21,21
1597373521,35,35
1597374121,11,11
1597375321,73,73
1597376521,58,58
1597377721,49,49
1597378922,42,42
1597379521,44,44
1597380121,26,26
1597381321,80,80
1597381921,35,35
1597383121,74,74
1597383721,35,35
1597384921,64,64
1597386121,63,63
1597387321,44,44
1597388522,40,40
1597389722,30,30
1597390921,46,46
1597391522,5,5
1597392721,36,36
1597393321,49,49
1597394521,42,42
1597395121,48,48
1597396322,61,61
1597396921,44,44
1597397521,8,8
1597398122,49,49
1597399321,30,30
1597399921,16,16
